quadratID,easting,northing
bue_1_1,-157.788,57.046
bue_1_2,-165.7436,47.679
bue_2_1,379.1428,8.725
bue_2_10,-227.6258,-173.861
bue_2_11,-286.5923,-222.961
bue_2_12,-417.368,-289.83
bue_2_2,314.453,-7.445
bue_2_3,230.151,1.455999999
bue_2_4,213.4751,-7.512
bue_2_5,188.0392,-20.61
bue_2_6,85.0727,-39.323
bue_2_7,-88.2623,-99.43
bue_2_8,-168.3641,-134.936
bue_2_9,-213.4371,-168.724
bue_3_1,-252.2266,-258.874
bue_3_2,285.1519,-178.392
bue_4_1,-490.8748,-407.504
bue_5_1,182.5652,-456.072
bue_6_1,74.6133,-366.866
bue_6_2,35.3797,-375.109
bue_7_1,-40.5685,-468.364
bue_8_1,199.0897,-516.143
bue_8_2,-389.0251,-497.414
bue_8_3,-464.2897,-492.142
