quadratID,easting,northing
dmw_1_1,323.5974,46.1
dmw_1_2,311.4832,43.97
dmw_1_3,291.2775,48.712
dmw_1_4,192.8677,49.649
dmw_1_5,165.4588,48.899
dmw_1_6,41.9759,53.553
dmw_1_7,16.2895,54.067
dmw_1_8,-56.4964,51.705
dmw_1_9,-69.0017,52.353
dmw_1_10,-77.4987,55.768
dmw_1_11,-97.7238,53.246
dmw_1_12,-204.6204,54.314
dmw_1_13,-224.0655,54.218
dmw_1_14,-236.2577,53.886
dmw_1_15,-245.0964,55.158
dmw_1_16,-261.6,58.667
dmw_2_1,1053.1243,-1740.106
dmw_2_2,1051.0646,-1733.163
dmw_2_3,1058.7747,-1731.875
dmw_2_4,1064.1549,-1709.251
dmw_2_5,1043.5179,-1690.372
dmw_2_6,958.3532,-1671.386
dmw_2_7,943.3737,-1667.171
dmw_2_8,940.3059,-1662.292
