quadratID,easting,northing
ges_1_1,109.7547,-168.207
ges_1_2,26.9274,-87.798
ges_1_3,21.8506,-79.374
ges_1_4,7.8959,-63.08
ges_1_5,-3.9282,-54.795
ges_1_6,-48.6293,-4.566000001
ges_1_7,-56.3712,12.196
ges_2_1,-84.6391,65.399
ges_2_2,-97.0723,67.919
ges_2_3,-99.6152,80.638
ges_3_1,-120.2788,147.555
ges_3_2,-123.4782,155.633
ges_4_1,-213.3351,6.33
ges_4_2,-205.0971,1.538
ges_5_1,-153.2928,12.59
ges_6_1,-128.5711,-18.788
ges_6_2,-114.2609,-42.346
ges_6_3,-74.9142,-88.11
ges_7_1,9.1884,-174.75
ges_8_1,-96.024,-167.266
ges_8_2,-106.7306,-156.497
ges_8_3,-170.5759,-101.515
ges_8_4,-179.9214,-90.755
ges_9_1,-222.6505,-153.747
