quadratID,easting,northing
gos_1_1,-436.18,40.356
gos_1_2,-448.892,50.767
gos_1_3,-460.438,55.798
gos_2_1,-359.241,52.247
gos_2_2,-368.58,57.207
gos_2_3,-398.162,74.506
gos_3_1,-330.657,86.277
gos_3_2,-322.697,84.756
gos_3_3,-348.232,97.126
gos_4_1,-56.417,-275.013
gos_4_2,-62.675,-286.393
gos_4_3,-76.776,-302.624
gos_5_1,233.983,636.027
gos_5_2,212.894,639.806
gos_6_1,424.61,772.777
gos_6_2,444.484,813.686
gos_6_3,519.648,876.336
gos_6_4,510.071,878.957
gos_6_5,595.058,933.017
gos_6_6,589.767,935.656
gos_7_1,195.763,1261.686
gos_7_2,210.821,1338.887
gos_7_3,217.997,1371.236
gos_7_4,235.231,1368.446
