quadratID,easting,northing
gut_1_1,72.3299,-320.246
gut_1_2,13.942,-291.777
gut_1_3,1.3356,-286.372
gut_1_4,-11.3191,-282.994
gut_1_5,-83.5295,-238.144
gut_1_6,-139.6945,-242.287
gut_2_1,-156.5513,-209.132
gut_2_2,-142.0155,-209.032
gut_2_3,-30.0986,-223.954
gut_2_4,22.4728,-243.822
gut_2_5,85.9183,-274.941
gut_2_6,91.2398,-283.148
gut_3_1,81.268,-224.552
gut_3_2,52.3141,-214.811
gut_3_3,2.9027,-189.538
gut_3_4,-33.4575,-163.01
gut_3_5,-165.3105,-164.976
gut_4_1,-128.1193,-111.466
gut_4_2,-40.9617,-115.666
gut_4_3,-21.4501,-124.64
gut_4_4,7.0572,-137.916
gut_4_5,55.2227,-160.2
gut_4_6,65.5158,-170.708
gut_4_7,129.7803,-191.334
