quadratID,easting,northing
hoe_1_1,586.8625,68.122
hoe_1_2,650.6237,70.419
hoe_2_1,682.2522,73.681
hoe_3_1,707.985,321.474
hoe_4_1,233.627,-298.613
hoe_4_10,-123.4401,-283.85
hoe_4_11,-203.4263,-311.207
hoe_4_2,53.749,-277.278
hoe_4_3,46.8473,-304.287
hoe_4_4,33.9771,-297.051
hoe_4_5,15.0193,-290.964
hoe_4_6,0.5261,-283.799
hoe_4_7,-31.0442,-313.252
hoe_4_8,-65.3418,-296.468
hoe_4_9,-107.0049,-291.782
hoe_5_1,-297.759,-285.695
hoe_5_2,-345.997,-251.845
hoe_6_1,-352.527,-141.384
hoe_6_2,-207.4502,-27.365
hoe_6_3,-213.6818,-17.868
hoe_6_4,-220.0821,20.302
hoe_6_5,-246.1266,22.671
hoe_6_6,-180.467,122.392
hoe_6_7,-158.1518,146.774
