quadratID,easting,northing
isb_1_1,15.1675,-205.303
isb_1_12,18.8508,-125.096
isb_1_14,15.2835,-140.718
isb_1_15,3.4066,-143.313
isb_1_16,7.8282,-149.528
isb_1_17,-0.3665,-152.574
isb_1_18,0.5446,-161.496
isb_1_19,3.9299,-167.21
isb_1_2,12.4222,-197.374
isb_1_20,-6.6219,-172.167
isb_1_21,0.1927,-175.647
isb_1_22,-5.2925,-182.495
isb_1_23,-2.0342,-190.384
isb_1_24,-14.0469,-186.383
isb_1_3,18.6577,-193.441
isb_1_4,14.7637,-185.001
isb_1_5,22.5409,-184.468
isb_1_6,23.3418,-169.153
isb_1_7,25.4574,-147.819
isb_1_8,25.3778,-122.726
isb_2_1,5.196,-404.213
isb_2_2,-6.834,-406.413
isb_2_3,-24.634,-407.083
