quadratID,easting,northing
mqw_1_1,-67.9565,-70.158
mqw_1_10,-37.7897,-15.266
mqw_1_11,-36.0388,-9.938
mqw_1_13,-32.6458,9.373
mqw_1_14,-38.7757,20.118
mqw_1_15,-34.1664,29.428
mqw_1_16,-42.4749,36.102
mqw_1_17,-40.723,44.42
mqw_1_18,-42.9548,54.646
mqw_1_2,-64.2532,-75.802
mqw_1_20,-37.2717,74.706
mqw_1_21,-39.7308,83.115
mqw_1_22,-40.0615,97.006
mqw_1_23,-40.3922,105.936
mqw_1_3,-53.0331,-68.843
mqw_1_4,-50.0981,-72.99
mqw_1_6,-42.9118,-55.001
mqw_1_7,-37.1509,-49.535
mqw_1_8,-38.4079,-43.554
mqw_1_9,-33.4311,-31.662
mqw_2_1,14.626,-108.043
mqw_2_2,18.126,-113.453
mqw_2_3,13.036,-115.263
mqw_2_4,9.626,-122.893
