quadratID,easting,northing
mrs_1_1,534.523,468.626
mrs_2_1,216.3224,455.365
mrs_2_2,181.1391,458.325
mrs_2_3,184.5326,464.757
mrs_2_4,162.3731,472.257
mrs_3_1,-477.239,292.886
mrs_3_2,-414.3475,214.558
mrs_3_3,-406.2188,227.141
mrs_4_1,14.8473,342.66
mrs_4_2,252.613,277.386
mrs_4_3,314.5866,271.515
mrs_4_4,370.3111,247.744
mrs_4_5,381.414,235.652
mrs_4_6,472.7834,146.079
mrs_4_7,507.0512,141.497
mrs_5_1,72.7801,268.343
mrs_5_2,380.4101,55.412
mrs_5_3,491.6409,-81.211
mrs_6_1,73.0585,-289.318
mrs_6_2,47.7058,-270.049
mrs_6_3,42.3495,-259.034
mrs_6_4,30.2161,-283.278
mrs_6_5,3.9835,-298.998
mrs_6_6,-117.613,-296.86
