quadratID,easting,northing
mug_1_1,-168.1457,224.111
mug_1_2,-164.0951,185.07
mug_1_3,-145.3756,168.015
mug_2_1,60.1433,-63.618
mug_2_2,50.2881,-29.368
mug_2_3,41.6307,-12.117
mug_2_4,-69.2205,203.161
mug_3_1,83.4861,95.206
mug_3_2,77.7805,92.197
mug_3_3,97.6411,73.555
mug_3_4,163.0741,-140.588
mug_3_5,172.7984,-171.218
mug_3_6,175.457,-182.082
mug_4_1,222.9842,-208.041
mug_4_10,-251.0666,104.435
mug_4_11,-276.5752,118.26
mug_4_2,164.7351,-216.007
mug_4_3,92.238,-182.932
mug_4_4,31.4974,-103.385
mug_4_5,15.7824,-86.338
mug_4_6,11.1412,-77.993
mug_4_7,2.8309,-65.129
mug_4_8,-174.8625,58.187
mug_4_9,-196.0703,66.85
