quadratID,easting,northing
nyk_1_1,-174.2153,-124.312
nyk_1_2,-150.5525,-74.968
nyk_1_3,-141.0645,-65.783
nyk_1_4,-135.3383,-72.658
nyk_2_1,-98.9165,-12.622
nyk_2_2,-57.3602,46.856
nyk_2_3,-45.3941,62.206
nyk_2_4,-44.5187,74.427
nyk_3_1,-18.6298,20.229
nyk_3_2,-30.9192,-1.828
nyk_3_3,-63.6954,-43.437
nyk_4_1,-93.5772,-105.008
nyk_4_2,-112.648,-110.33
nyk_4_3,-114.7004,-125.222
nyk_5_1,-77.8548,-155.629
nyk_5_2,-77.7436,-148.613
nyk_5_3,-60.5801,-137.971
nyk_5_4,-39.586,-100.65
nyk_6_1,25.4605,-31.601
nyk_7_1,48.9616,26.826
nyk_7_2,43.9236,30.071
nyk_8_1,17.3611,69.404
nyk_8_2,58.813,71.444
nyk_8_3,109.6899,66.023
