quadratID,easting,northing
pow_1_1,-1877.7846,-422.085
pow_10_1,266.8346,35.57
pow_10_2,213.7744,-43.012
pow_10_3,124.5585,58.96
pow_11_1,103.6085,175.638
pow_12_1,129.5521,13.548
pow_12_2,218.4039,-70.932
pow_13_1,137.0063,-155.34
pow_14_1,703.1848,465.166
pow_14_2,705.8342,565.055
pow_15_1,674.3986,727.197
pow_16_1,894.3198,766.324
pow_16_2,899.0817,697.386
pow_2_1,-1836.6109,-440.817
pow_3_1,-1856.9383,-489.804
pow_4_1,-1779.1605,-432.091
pow_5_1,-1727.484,-455.315
pow_6_1,-1682.7255,-463.19
pow_7_1,-1632.1377,-388.402
pow_8_1,443.1743,252.724
pow_8_2,416.5645,80.7
pow_8_3,348.9808,78.994
pow_9_1,280.7349,140.169
pow_9_2,437.3183,99.287
