quadratID,easting,northing
rdm_1_1,579.6627,-513.451
rdm_1_10,181.825,-202.308
rdm_1_11,117.9335,-157.106
rdm_1_12,130.2431,-141.374
rdm_1_13,79.9763,-107.088
rdm_1_2,510.3132,-493.239
rdm_1_3,491.9726,-470.734
rdm_1_4,494.2174,-439.704
rdm_1_5,489.1439,-435.005
rdm_1_6,451.2854,-400.619
rdm_1_7,397.0626,-383.184
rdm_1_8,269.7735,-280.244
rdm_1_9,251.1189,-247.861
rdm_2_1,-353.7655,-220.671
rdm_2_2,-301.313,-225.776
rdm_3_1,-105.1623,-101.965
rdm_4_1,-82.1005,-88.987
rdm_4_2,-200.2279,-88.417
rdm_4_3,-325.7772,-76.897
rdm_4_4,-399.0583,-87.79
rdm_5_1,-356.2135,140.773
rdm_5_2,-311.1957,147.238
rdm_5_3,-140.32,141.312
rdm_5_4,-41.8694,139.895
