quadratID,easting,northing
rod_1_1,46.4176,-254.736
rod_10_1,59.7255,-6.648
rod_10_2,21.6074,9.618
rod_11_1,19.9564,79.487
rod_12_1,53.9211,122.634
rod_13_1,143.875,188.328
rod_13_2,186.1259,94.618
rod_13_3,211.0378,145.266
rod_2_1,69.8366,-294.779
rod_2_2,31.505,-298.007
rod_3_1,57.6609,-339.833
rod_3_2,45.2802,-340.007
rod_3_3,49.7168,-349.642
rod_3_4,-11.2139,-337.141
rod_3_5,-33.0749,-323.026
rod_4_1,-168.406,-300.175
rod_4_2,-187.2057,-297.603
rod_4_3,-241.3778,-304.088
rod_4_4,-269.7987,-281.212
rod_5_1,-197.1984,-238.554
rod_6_1,-178.2967,-194.964
rod_7_1,-167.2199,-166.09
rod_8_1,-104.1861,-125.163
rod_9_1,-128.0129,-86.399
