quadratID,easting,northing
ser_1_1,-99.7699,-52.262
ser_1_2,-100.6685,-27.246
ser_1_3,-105.8852,-6.199
ser_1_4,-102.5882,3.113
ser_2_1,243.4008,-53.945
ser_2_10,134.7846,-20.547
ser_2_11,126.8147,-19.668
ser_2_12,126.9668,-11.843
ser_2_13,109.1597,-22.381
ser_2_14,109.3257,-13.747
ser_2_15,101.3296,0.054
ser_2_16,106.5341,0.234
ser_2_17,125.1132,9.445
ser_2_18,160.5965,-0.159
ser_2_19,198.4755,15.79
ser_2_2,227.5419,-51.049
ser_2_20,200.7269,9.089
ser_2_3,216.2033,-57.048
ser_2_4,201.0321,-46.787
ser_2_5,161.2088,-47.86
ser_2_6,151.5604,-37.636
ser_2_7,154.3101,-22.469
ser_2_8,144.4848,-19.37
ser_2_9,136.8287,-33.024
