quadratID,easting,northing
slo_1_1,1228.3555,1839.015
slo_1_2,1197.4304,1866.415
slo_1_3,1183.0941,1883.168
slo_1_4,1174.1779,1884.099
slo_1_5,1134.9843,1912.129
slo_1_6,1094.6965,1951.568
slo_1_7,1071.0579,1966.137
slo_2_1,989.3911,1958.52
slo_2_2,978.1959,1970.888
slo_2_3,970.072,1954.971
slo_3_1,1060.5872,2041.287
slo_3_2,1094.4256,2022.932
slo_3_3,1152.5431,1995.771
slo_3_4,1188.432,1956.553
slo_3_5,1304.1134,1845.138
slo_4_1,910.3106,2001.576
slo_4_2,983.4913,2034.796
slo_4_3,1024.4873,2037.578
slo_5_1,1089.751,2098.901
slo_5_2,1087.1753,2093.61
slo_5_3,986.939,2104.62
slo_5_4,859.932,2045.78
slo_5_5,816.6982,1998.219
slo_5_6,799.2445,1946.611
