quadratID,easting,northing
sme_1_1,4289900.754,-4290103.527
sme_1_10,4289868.426,-4289981.312
sme_1_11,4289858.719,-4289976.316
sme_1_12,4289855.063,-4289962.492
sme_1_13,4289872.023,-4289951.87
sme_1_14,4289862.891,-4289951.897
sme_1_15,4289862.419,-4289916.304
sme_1_16,4289860.909,-4289899.498
sme_1_17,4289851.597,-4289890.647
sme_1_18,4289851.127,-4289882.752
sme_1_19,4289833.484,-4289873.56
sme_1_2,4289891.226,-4290069.029
sme_1_20,4289826.151,-4289870.026
sme_1_3,4289890.287,-4290043.351
sme_1_4,4289877.655,-4290031.599
sme_1_5,4289872.36,-4290025.593
sme_1_6,4289882.658,-4290001.416
sme_1_7,4289865.132,-4290000.801
sme_1_8,4289880.501,-4289983.697
sme_1_9,4289866.979,-4289986.288
sme_2_1,4289774.253,-4289888.944
sme_2_2,4289788.152,-4289922.184
sme_2_3,4289794.395,-4289947.86
sme_2_4,4289838.964,-4290107.338
