quadratID,easting,northing
smi_1_1,343.2808,214.084
smi_1_10,346.2868,1.567
smi_1_11,349.433,-25.932
smi_1_12,342.1594,-56.107
smi_1_13,343.5995,-133.243
smi_1_14,337.9714,-156.149
smi_1_15,353.229,-193.907
smi_1_16,361.5914,-195.964
smi_1_17,361.0542,-197.185
smi_1_2,339.8038,137.597
smi_1_3,344.6277,135.952
smi_1_4,335.8385,100.673
smi_1_5,338.0717,88.96
smi_1_6,346.0703,45.52
smi_1_7,340.0079,18.87
smi_1_8,338.1299,14.972
smi_1_9,349.1398,8.482
smi_2_1,294.9107,6.986
smi_2_2,292.7222,69.134
smi_2_3,299.1841,95.566
smi_2_4,298.4572,181.052
smi_2_5,292.6557,225.637
smi_2_6,298.3925,227.234
smi_2_7,296.6644,250.683
