quadratID,easting,northing
stn_1_1,331.7611,-184.627
stn_1_2,279.9589,-170.735
stn_1_3,217.7888,-320.876
stn_2_1,149.1415,-319.453
stn_2_2,135.1378,-257.324
stn_2_3,149.5745,-190.37
stn_2_4,342.9206,-136.936
stn_3_1,258.6841,-74.734
stn_3_2,230.4947,-72.032
stn_3_3,216.9863,-83.013
stn_3_4,168.338,-101.192
stn_3_5,88.8637,-286.236
stn_4_1,39.3278,-230.586
stn_4_2,48.776,-181.31
stn_4_3,56.5778,-178.904
stn_4_4,109.1745,-48.624
stn_4_5,128.7048,-43.418
stn_4_6,321.5794,-34.413
stn_5_1,334.1176,9.495
stn_5_2,103.4943,2.077
stn_5_3,63.1556,-31.133
stn_5_4,56.2296,-77.675
stn_5_5,34.1312,-113.646
stn_5_6,1.8404,-314.141
