quadratID,easting,northing
stt_1_1,135.8231,43.807
stt_1_2,134.8907,13.471
stt_1_3,123.9352,-10.645
stt_1_4,122.8131,-25.524
stt_2_1,91.0878,-10.934
stt_2_2,54.8309,13.73
stt_2_3,63.2568,18.269
stt_2_4,66.8634,44.152
stt_2_5,82.2288,46.046
stt_2_6,75.8577,63.491
stt_2_7,93.4347,76.843
stt_2_8,58.433,90.623
stt_2_9,42.4962,48.231
stt_3_1,2.6051,52.071
stt_3_2,2.3209,91.466
stt_4_1,6.1333,120.496
stt_4_2,7.3642,131.712
stt_4_3,38.3935,139.203
stt_4_4,32.4385,105.354
stt_4_5,44.1043,107.237
stt_4_6,54.3964,107.506
stt_5_1,94.2053,123.245
stt_5_2,108.0555,110.847
stt_5_3,114.9567,109.24
