quadratID,easting,northing
arm_3_12,-482.5293,1319.022
arm_3_7,-453.8467,1180.511
arm_3_1,-358.2653,1125.272
arm_3_5,-439.0192,1155.104
arm_3_4,-410.1965,1137.386
arm_3_6,-452.9682,1173.889
arm_3_13,-379.0255,1419.79
arm_3_9,-472.8779,1199.614
arm_3_8,-461.2498,1190.553
arm_3_11,-487.4787,1232.928
arm_3_2,-372.6698,1123.865
arm_3_10,-479.5189,1200.166
arm_3_3,-378.1882,1125.735
arm_3_14,-352.4858,1421.736
arm_2_4,-382.0369,1346.248
arm_2_5,-388.8724,1346.69
arm_2_6,-409.1472,1314.028
arm_2_2,-350.1314,1354.925
arm_2_3,-358.0471,1355.33
arm_2_8,-400.9121,1217.382
arm_2_7,-424.8797,1253.062
arm_2_1,-345.3095,1353.369
arm_1_2,-346.4724,1289.964
arm_1_1,-346.3628,1263.039
