quadratID,easting,northing
mcn_1_2,53.822,-218.942
mcn_1_1,71.6375,-244.512
mcn_2_3,128.7177,-270.074
mcn_2_2,139.1608,-285.204
mcn_2_1,81.9441,-181.552
mcn_3_4,206.2482,-87.067
mcn_3_6,71.3331,64.972
mcn_3_7,67.5347,67.242
mcn_3_1,258.8139,-245.21
mcn_3_2,238.8231,-187.491
mcn_3_3,208.1928,-94.849
mcn_3_5,187.8415,-50.858
mcn_3_8,20.235,92.102
mcn_4_10,302.2298,-238.179
mcn_4_4,191.8208,24.615
mcn_4_3,170.743,38.579
mcn_4_1,148.8426,59.147
mcn_4_8,272.8688,-148.572
mcn_4_6,240.3704,-66.561
mcn_4_11,318.9743,-285.759
mcn_4_2,152.1818,56.741
mcn_4_9,294.4909,-204.445
mcn_4_5,209.5631,-5.104
mcn_4_7,258.7276,-110.918
