quadratID,easting,northing
wat_1_1,5917.9449,6778.803
wat_1_2,5933.9297,6777.967
wat_1_3,5950.0128,6777.345
wat_1_4,6000.8604,6746.886
wat_1_5,6005.9644,6729.192
wat_1_6,6022.9198,6697.052
wat_1_7,6011.4263,6661.417
wat_1_8,6001.6869,6644.256
wat_1_9,5954.8395,6613.142
wat_1_10,5944.3779,6600.562
wat_1_11,5880.4414,6574.566
wat_1_12,5817.0514,6564.261
wat_1_13,5794.104,6539.794
wat_1_14,5814.9964,6518.645
wat_1_15,5835.8106,6502.588
wat_1_16,5859.4137,6492.025
wat_1_17,5898.1868,6512.575
wat_1_18,5931.9339,6539.156
wat_1_19,5947.2121,6544.691
wat_1_20,5972.0147,6595.652
wat_1_21,5994.7562,6612.72
wat_1_22,6039.7018,6634.897
wat_1_23,6063.245,6700.416
wat_1_24,6035.1464,6733.01
