quadratID,easting,northing
whi_1_3,132.1633,-691.885
whi_1_2,138.1718,-695.578
whi_1_1,51.75,-645.613
whi_10_1,230.7761,-840.635
whi_11_1,83.7471,-1126.423
whi_12_1,34.5134,-1230.516
whi_2_1,61.9612,-607.999
whi_2_3,148.11,-569.938
whi_2_2,73.841,-602.682
whi_3_4,349.9375,-500.594
whi_3_1,284.5012,-515.044
whi_3_5,354.6914,-511.231
whi_3_3,336.0031,-515.292
whi_3_2,319.9914,-510.573
whi_4_2,268.4982,-690.508
whi_4_1,305.6888,-598.551
whi_5_1,398.2048,-841.236
whi_5_2,405.1369,-1226.287
whi_5_3,351.5439,-1051.009
whi_8_1,195.2843,-1157.838
whi_9_1,185.6941,-1134.123
whi_7_1,300.8375,-887.101
whi_6_1,309.0794,-1022.064
whi_6_2,355.4727,-925.264
