quadratID,easting,northing
wor_5_3,-89.168,-138.174
wor_5_4,41.1253,-139.265
wor_5_1,-132.4391,-137.477
wor_5_2,-115.9265,-137.219
wor_4_2,29.0702,-73.102
wor_4_1,80.4563,-71.17
wor_4_4,-97.4868,-75.29
wor_4_3,-71.9456,-74.685
wor_3_3,76.953,-3.295
wor_3_5,161.9397,-4.967999999
wor_3_4,146.7335,-7.59
wor_3_1,52.5962,-3.952
wor_3_2,72.9287,-6.562
wor_2_5,-78.552,56.314
wor_2_4,28.1204,57.641
wor_2_1,105.2065,56.589
wor_2_3,57.0226,60.943
wor_2_2,96.0362,59.602
wor_1_6,66.5814,122.295
wor_1_2,-120.2716,126.592
wor_1_4,5.7732,125.943
wor_1_1,-134.6259,126.038
wor_1_3,-105.1593,126.606
wor_1_5,35.8812,123.428
