quadratID,easting,northing
bue_1_1,294544.702,4708542.946
bue_1_2,294536.7464,4708533.579
bue_1_3,294418.4338,4708494.183
bue_1_5,294212.9409,4708497.279
bue_1_4,294251.4303,4708497.097
bue_3_1,294450.2634,4708227.026
bue_3_2,294987.6419,4708307.508
bue_3_5,294681.8271,4708278.66
bue_3_3,294506.61,4708245.095
bue_3_4,294579.0876,4708266.967
bue_4_1,294211.6152,4708078.396
bue_5_1,294885.0552,4708029.828
bue_5_3,294896.6966,4708077.081
bue_5_2,294901.8396,4708071.763
bue_6_2,294737.8697,4708110.791
bue_6_1,294777.1033,4708119.034
bue_6_3,294704.8059,4708106.43
bue_7_1,294661.9215,4708017.536
bue_7_2,294630.1529,4708017.183
bue_8_1,294901.5797,4707969.757
bue_8_3,294238.2003,4707993.758
bue_8_2,294313.4649,4707988.486
bue_8_4,294766.9189,4707971.875
bue_8_5,294534.9046,4707977.15
