quadratID,easting,northing
dmw_1_3,433823.7475,4597182.292
dmw_1_16,433270.87,4597192.247
dmw_1_8,433475.9736,4597185.285
dmw_1_9,433463.4683,4597185.933
dmw_1_6,433574.4459,4597187.133
dmw_1_12,433327.8496,4597187.894
dmw_1_15,433287.3736,4597188.738
dmw_1_5,433697.9288,4597182.479
dmw_1_4,433725.3377,4597183.229
dmw_1_2,433843.9532,4597177.55
dmw_1_11,433434.7462,4597186.826
dmw_1_10,433454.9713,4597189.348
dmw_1_1,433856.0674,4597179.68
dmw_1_7,433548.7595,4597187.647
dmw_1_13,433308.4045,4597187.798
dmw_1_14,433296.2123,4597187.466
dmw_2_2,434583.5346,4595400.417
dmw_2_4,434596.6249,4595424.329
dmw_2_1,434585.5943,4595393.474
dmw_2_8,434573.166,4595449.33
dmw_2_5,434575.9879,4595443.208
dmw_2_6,434558.876,4595459.49
dmw_2_3,434591.2447,4595401.705
dmw_2_7,434568.626,4595452.72
