quadratID,easting,northing
ges_1_1,381584.6547,4662693.823
ges_1_2,381501.8274,4662774.232
ges_1_3,381496.7506,4662782.656
ges_1_4,381482.7959,4662798.95
ges_1_5,381470.9718,4662807.235
ges_1_6,381426.2707,4662857.464
ges_1_7,381418.5288,4662874.226
ges_2_1,381390.2609,4662927.429
ges_2_2,381377.8277,4662929.949
ges_2_3,381375.2848,4662942.668
ges_3_1,381354.6212,4663009.585
ges_3_2,381351.4218,4663017.663
ges_4_1,381261.5649,4662868.36
ges_4_2,381269.8029,4662863.568
ges_5_1,381321.6072,4662874.62
ges_6_1,381346.3289,4662843.242
ges_6_2,381360.6391,4662819.684
ges_6_3,381399.9858,4662773.92
ges_7_1,381474.524,4662692.779
ges_8_1,381372.504,4662696.099
ges_8_2,381357.614,4662706.559
ges_8_3,381304.3241,4662760.515
ges_8_4,381294.9786,4662771.275
ges_9_1,381252.2495,4662708.283
