quadratID,easting,northing
gos_1_1,687673.47,4673279.756
gos_1_2,687660.758,4673290.167
gos_1_3,687649.212,4673295.198
gos_2_1,687750.409,4673291.647
gos_2_2,687741.07,4673296.607
gos_2_3,687711.488,4673313.906
gos_3_1,687778.993,4673325.677
gos_3_2,687786.953,4673324.156
gos_3_3,687761.418,4673336.526
gos_4_1,688053.233,4672964.387
gos_4_2,688046.975,4672953.007
gos_4_3,688032.874,4672936.776
gos_5_1,688343.633,4673875.427
gos_5_2,688322.544,4673879.206
gos_6_1,688534.26,4674012.177
gos_6_2,688554.134,4674053.086
gos_6_3,688629.298,4674115.736
gos_6_4,688619.721,4674118.357
gos_6_5,688704.708,4674172.417
gos_6_6,688699.417,4674175.056
gos_7_1,688305.413,4674501.086
gos_7_2,688320.471,4674578.287
gos_7_3,688327.647,4674610.636
gos_7_4,688344.881,4674607.846
