quadratID,easting,northing
gut_1_1,455860.7699,4646929.604
gut_1_2,455802.382,4646958.073
gut_1_3,455789.7756,4646963.478
gut_1_4,455777.1209,4646966.856
gut_1_5,455704.9105,4647011.706
gut_1_6,455648.7455,4647007.563
gut_2_1,455631.8887,4647040.718
gut_2_2,455646.4245,4647040.818
gut_2_3,455758.3414,4647025.896
gut_2_4,455810.9128,4647006.028
gut_2_5,455874.3583,4646974.909
gut_2_6,455879.6798,4646966.702
gut_3_1,455869.708,4647025.298
gut_3_2,455840.7541,4647035.039
gut_3_3,455791.3427,4647060.312
gut_3_4,455754.9825,4647086.84
gut_3_5,455623.1295,4647084.874
gut_4_1,455660.3207,4647138.384
gut_4_2,455747.4783,4647134.184
gut_4_3,455766.9899,4647125.21
gut_4_4,455795.4972,4647111.934
gut_4_5,455843.6627,4647089.65
gut_4_6,455853.9558,4647079.142
gut_4_7,455918.2203,4647058.516
