quadratID,easting,northing
hoe_1_1,332229.6725,4814351.682
hoe_1_2,332293.4337,4814353.979
hoe_2_1,332325.0622,4814357.241
hoe_3_1,332350.795,4814605.034
hoe_4_1,331876.437,4813984.947
hoe_4_10,331519.3699,4813999.71
hoe_4_11,331439.3837,4813972.353
hoe_4_2,331696.559,4814006.282
hoe_4_3,331689.6573,4813979.273
hoe_4_4,331676.7871,4813986.509
hoe_4_5,331657.8293,4813992.596
hoe_4_6,331643.3361,4813999.761
hoe_4_7,331611.7658,4813970.308
hoe_4_8,331577.4682,4813987.092
hoe_4_9,331535.8051,4813991.778
hoe_5_1,331345.051,4813997.865
hoe_5_2,331296.813,4814031.715
hoe_6_1,331290.283,4814142.176
hoe_6_2,331435.3598,4814256.195
hoe_6_3,331429.1282,4814265.692
hoe_6_4,331422.7279,4814303.862
hoe_6_5,331396.6834,4814306.231
hoe_6_6,331462.343,4814405.952
hoe_6_7,331484.6582,4814430.334
