quadratID,easting,northing
isb_1_1,308781.7775,4542160.947
isb_1_12,308785.4608,4542241.154
isb_1_14,308781.8935,4542225.532
isb_1_15,308770.0166,4542222.937
isb_1_16,308774.4382,4542216.722
isb_1_17,308766.2435,4542213.676
isb_1_18,308767.1546,4542204.754
isb_1_19,308770.5399,4542199.04
isb_1_2,308779.0322,4542168.876
isb_1_20,308759.9881,4542194.083
isb_1_21,308766.8027,4542190.603
isb_1_22,308761.3175,4542183.755
isb_1_23,308764.5758,4542175.866
isb_1_24,308752.5631,4542179.867
isb_1_3,308785.2677,4542172.809
isb_1_4,308781.3737,4542181.249
isb_1_5,308789.1509,4542181.782
isb_1_6,308789.9518,4542197.097
isb_1_7,308792.0674,4542218.431
isb_1_8,308791.9878,4542243.524
isb_2_1,308771.806,4541962.037
isb_2_2,308759.776,4541959.837
isb_2_3,308741.976,4541959.167
