quadratID,easting,northing
mqw_1_1,308698.6535,4542296.092
mqw_1_10,308728.8203,4542350.984
mqw_1_11,308730.5712,4542356.312
mqw_1_13,308733.9642,4542375.623
mqw_1_14,308727.8343,4542386.368
mqw_1_15,308732.4436,4542395.678
mqw_1_16,308724.1351,4542402.352
mqw_1_17,308725.887,4542410.67
mqw_1_18,308723.6552,4542420.896
mqw_1_2,308702.3568,4542290.448
mqw_1_20,308729.3383,4542440.956
mqw_1_21,308726.8792,4542449.365
mqw_1_22,308726.5485,4542463.256
mqw_1_23,308726.2178,4542472.186
mqw_1_3,308713.5769,4542297.407
mqw_1_4,308716.5119,4542293.26
mqw_1_6,308723.6982,4542311.249
mqw_1_7,308729.4591,4542316.715
mqw_1_8,308728.2021,4542322.696
mqw_1_9,308733.1789,4542334.588
mqw_2_1,308781.236,4542258.207
mqw_2_2,308784.736,4542252.797
mqw_2_3,308779.646,4542250.987
mqw_2_4,308776.236,4542243.357
