quadratID,easting,northing
mrs_1_1,572822.7727,4616306.375
mrs_2_1,572499.0924,4616287.365
mrs_2_2,572463.9091,4616290.325
mrs_2_3,572467.3026,4616296.757
mrs_2_4,572445.1431,4616304.257
mrs_3_1,571805.531,4616124.886
mrs_3_2,571868.4225,4616046.558
mrs_3_3,571876.5512,4616059.141
mrs_4_1,572297.6173,4616174.66
mrs_4_2,572518.9351,4616092.401
mrs_4_3,572597.3566,4616103.515
mrs_4_4,572653.0811,4616079.744
mrs_4_5,572664.184,4616067.652
mrs_4_6,572755.5534,4615978.079
mrs_4_7,572789.8212,4615973.497
mrs_5_1,572355.5501,4616100.343
mrs_5_2,572663.1801,4615887.412
mrs_5_3,572774.4109,4615750.789
mrs_6_1,572355.8285,4615542.682
mrs_6_2,572330.4758,4615561.951
mrs_6_3,572325.1195,4615572.966
mrs_6_4,572312.9861,4615548.722
mrs_6_5,572286.7535,4615533.002
mrs_6_6,572165.157,4615535.14
