quadratID,easting,northing
mug_1_1,289439.7643,4761304.451
mug_1_2,289443.8149,4761265.41
mug_1_3,289462.5344,4761248.355
mug_2_1,289668.0533,4761016.722
mug_2_2,289658.1981,4761050.972
mug_2_3,289649.5407,4761068.223
mug_2_4,289538.6895,4761283.501
mug_3_1,289691.3961,4761175.546
mug_3_2,289685.6905,4761172.537
mug_3_3,289705.5511,4761153.895
mug_3_4,289770.9841,4760939.752
mug_3_5,289780.7084,4760909.122
mug_3_6,289783.367,4760898.258
mug_4_1,289830.8942,4760872.299
mug_4_10,289356.8434,4761184.775
mug_4_11,289331.3348,4761198.6
mug_4_2,289772.6451,4760864.333
mug_4_3,289700.148,4760897.408
mug_4_4,289639.4074,4760976.955
mug_4_5,289623.6924,4760994.002
mug_4_6,289619.0512,4761002.347
mug_4_7,289610.7409,4761015.211
mug_4_8,289433.0475,4761138.527
mug_4_9,289411.8397,4761147.19
