quadratID,easting,northing
nyk_1_1,378358.4247,4570515.538
nyk_1_2,378382.0875,4570564.882
nyk_1_3,378391.5755,4570574.067
nyk_1_4,378397.3017,4570567.192
nyk_2_1,378433.7235,4570627.228
nyk_2_2,378475.2798,4570686.706
nyk_2_3,378487.2459,4570702.056
nyk_2_4,378488.1213,4570714.277
nyk_3_1,378514.0102,4570660.079
nyk_3_2,378501.7208,4570638.022
nyk_3_3,378468.9446,4570596.413
nyk_4_1,378439.0628,4570534.842
nyk_4_2,378419.992,4570529.52
nyk_4_3,378417.9396,4570514.628
nyk_5_1,378454.7852,4570484.221
nyk_5_2,378454.8964,4570491.237
nyk_5_3,378472.0599,4570501.879
nyk_5_4,378493.054,4570539.2
nyk_6_1,378558.1005,4570608.249
nyk_7_1,378581.6016,4570666.676
nyk_7_2,378576.5636,4570669.921
nyk_8_1,378550.0011,4570709.254
nyk_8_2,378591.453,4570711.294
nyk_8_3,378642.3299,4570705.873
