quadratID,easting,northing
pow_1_1,371539.3154,4542230.985
pow_10_1,373683.9346,4542688.64
pow_10_2,373630.8744,4542610.058
pow_10_3,373541.6585,4542712.03
pow_11_1,373524.8272,4542789.853
pow_12_1,373546.6521,4542666.618
pow_12_2,373635.5039,4542582.138
pow_13_1,373554.1063,4542497.73
pow_14_1,374120.2848,4543118.236
pow_14_2,374122.9342,4543218.125
pow_15_1,374091.4986,4543380.267
pow_16_1,374311.4198,4543419.394
pow_16_2,374316.1817,4543350.456
pow_2_1,371580.4891,4542212.253
pow_3_1,371560.1617,4542163.266
pow_4_1,371637.9395,4542220.979
pow_5_1,371689.616,4542197.755
pow_6_1,371734.3745,4542189.88
pow_7_1,371784.9623,4542264.668
pow_8_1,373860.2743,4542905.794
pow_8_2,373833.6645,4542733.77
pow_8_3,373766.0808,4542732.064
pow_9_1,373697.8349,4542793.239
pow_9_2,373854.4183,4542752.357
