quadratID,easting,northing
rdm_1_1,528374.7227,4702029.749
rdm_1_10,527976.885,4702340.892
rdm_1_11,527912.9935,4702386.094
rdm_1_12,527925.3031,4702401.826
rdm_1_13,527875.0363,4702436.112
rdm_1_2,528305.3732,4702049.961
rdm_1_3,528287.0326,4702072.466
rdm_1_4,528289.2774,4702103.496
rdm_1_5,528284.2039,4702108.195
rdm_1_6,528246.3454,4702142.581
rdm_1_7,528192.1226,4702160.016
rdm_1_8,528064.8335,4702262.956
rdm_1_9,528046.1789,4702295.339
rdm_2_1,527441.2945,4702322.529
rdm_2_2,527493.747,4702317.424
rdm_3_1,527689.8977,4702441.235
rdm_4_1,527712.9595,4702454.213
rdm_4_2,527594.8321,4702454.783
rdm_4_3,527469.2828,4702466.303
rdm_4_4,527396.0017,4702455.41
rdm_5_1,527438.8465,4702683.973
rdm_5_2,527483.8643,4702690.438
rdm_5_3,527654.74,4702684.512
rdm_5_4,527753.1906,4702683.095
