quadratID,easting,northing
rod_1_1,629194.4576,4747173.004
rod_10_1,629207.7655,4747421.092
rod_10_2,629169.6474,4747437.358
rod_11_1,629167.9964,4747507.227
rod_12_1,629201.9611,4747550.374
rod_13_1,629291.915,4747616.068
rod_13_2,629334.1659,4747522.358
rod_13_3,629359.0778,4747573.006
rod_2_1,629217.8766,4747132.961
rod_2_2,629179.545,4747129.733
rod_3_1,629205.7009,4747087.907
rod_3_2,629193.3202,4747087.733
rod_3_3,629197.7568,4747078.098
rod_3_4,629136.8261,4747090.599
rod_3_5,629114.9651,4747104.714
rod_4_1,628979.634,4747127.565
rod_4_2,628960.8343,4747130.137
rod_4_3,628906.6622,4747123.652
rod_4_4,628878.2413,4747146.528
rod_5_1,628950.8416,4747189.186
rod_6_1,628969.7433,4747232.776
rod_7_1,628980.8201,4747261.65
rod_8_1,629043.8539,4747302.577
rod_9_1,629020.0271,4747341.341
