quadratID,easting,northing
ser_1_1,627420.6701,4561331.698
ser_1_2,627419.7715,4561356.714
ser_1_3,627414.5548,4561377.761
ser_1_4,627417.8518,4561387.073
ser_2_1,627763.8408,4561330.015
ser_2_10,627655.2246,4561363.413
ser_2_11,627647.2547,4561364.292
ser_2_12,627647.4068,4561372.117
ser_2_13,627629.5997,4561361.579
ser_2_14,627629.7657,4561370.213
ser_2_15,627621.7696,4561384.014
ser_2_16,627626.9741,4561384.194
ser_2_17,627645.5532,4561393.405
ser_2_18,627681.0365,4561383.801
ser_2_19,627718.9155,4561399.75
ser_2_2,627747.9819,4561332.911
ser_2_20,627721.1669,4561393.049
ser_2_3,627736.6433,4561326.912
ser_2_4,627721.4721,4561337.173
ser_2_5,627681.6488,4561336.1
ser_2_6,627672.0004,4561346.324
ser_2_7,627674.7501,4561361.491
ser_2_8,627664.9248,4561364.59
ser_2_9,627657.2687,4561350.936
