quadratID,easting,northing
slo_1_1,587569.3455,4689037.855
slo_1_2,587538.4204,4689065.255
slo_1_3,587524.0841,4689082.008
slo_1_4,587515.1679,4689082.939
slo_1_5,587475.9743,4689110.969
slo_1_6,587435.6865,4689150.408
slo_1_7,587412.0479,4689164.977
slo_2_1,587330.3811,4689157.36
slo_2_2,587319.1859,4689169.728
slo_2_3,587311.062,4689153.811
slo_3_1,587401.5772,4689240.127
slo_3_2,587435.4156,4689221.772
slo_3_3,587493.5331,4689194.611
slo_3_4,587529.422,4689155.393
slo_3_5,587645.1034,4689043.978
slo_4_1,587251.3006,4689200.416
slo_4_2,587324.4813,4689233.636
slo_4_3,587365.4773,4689236.418
slo_5_1,587430.741,4689297.741
slo_5_2,587428.1653,4689292.45
slo_5_3,587327.929,4689303.46
slo_5_4,587200.922,4689244.62
slo_5_5,587157.6882,4689197.059
slo_5_6,587137.1388,4689135.519
