quadratID,easting,northing
stn_1_1,542100.1311,4670199.573
stn_1_2,542048.3289,4670213.465
stn_1_3,541986.1588,4670063.324
stn_2_1,541917.5115,4670064.747
stn_2_2,541903.5078,4670126.876
stn_2_3,541917.9445,4670193.83
stn_2_4,542111.2906,4670247.264
stn_3_1,542027.0541,4670309.466
stn_3_2,541998.8647,4670312.168
stn_3_3,541985.3563,4670301.187
stn_3_4,541936.708,4670283.008
stn_3_5,541857.2337,4670097.964
stn_4_1,541807.6978,4670153.614
stn_4_2,541817.146,4670202.89
stn_4_3,541824.9478,4670205.296
stn_4_4,541877.5445,4670335.576
stn_4_5,541897.0748,4670340.782
stn_4_6,542089.9494,4670349.787
stn_5_1,542102.4876,4670393.695
stn_5_2,541871.8643,4670386.277
stn_5_3,541831.5256,4670353.067
stn_5_4,541824.5996,4670306.525
stn_5_5,541802.5012,4670270.554
stn_5_6,541770.2104,4670070.059
