quadratID,easting,northing
stt_1_1,599394.9931,4575050.037
stt_1_2,599394.0607,4575019.701
stt_1_3,599383.1052,4574995.585
stt_1_4,599381.9831,4574980.706
stt_2_1,599350.2578,4574995.296
stt_2_2,599314.0009,4575019.96
stt_2_3,599322.4268,4575024.499
stt_2_4,599326.0334,4575050.382
stt_2_5,599341.3988,4575052.276
stt_2_6,599335.0277,4575069.721
stt_2_7,599352.6047,4575083.073
stt_2_8,599317.603,4575096.853
stt_2_9,599301.6662,4575054.461
stt_3_1,599261.7751,4575058.301
stt_3_2,599261.4909,4575097.696
stt_4_1,599265.3033,4575126.726
stt_4_2,599266.5342,4575137.942
stt_4_3,599297.5635,4575145.433
stt_4_4,599291.6085,4575111.584
stt_4_5,599303.2743,4575113.467
stt_4_6,599313.5664,4575113.736
stt_5_1,599353.3753,4575129.475
stt_5_2,599367.2255,4575117.077
stt_5_3,599374.1267,4575115.47
