full_name,common_name,family,native,life_cycle,group,speciesID,alternate_name,seeds_per_oz
abutilon theophrasti,velvetleaf,malvaceae,introduced,annual,weedy forb,abuth,buttonweed,
acalypha rhomboidea,rhomboid mercury,euphorbiaceae,native,annual,weedy forb,acarh,three-seeded mercury,
acer rubrum,red maple,aceraceae,native,perennial,woody,aceru,,
achillea millefolium,western yarrow,asteraceae,native,perennial,prairie forb,achmi,,178000
acroptilon repens,russian knapweed,asteraceae,introduced,perennial,weedy forb,acrre,,
agastache foeniculum,anise hyssop,lamiaceae,native,perennial,prairie forb,agafo,blue giant hyssop,90000
agropyron repens,quackgrass,poaceae ,introduced,perennial,weedy C3 grass,agrre,,
agropyron smithii,western wheatgrass,poaceae ,native,perennial,prairie C3 grass,agrsm,,
agropyron trachycaulum,slender wheat grass,poaceae ,native,perennial,prairie C3 grass,agrtr,,
agrostis gigantea,redtop,poaceae ,introduced,perennial,weedy C3 grass,agrgi,bentgrass,
alisma subcordatum,small-flowered water plantain,alismataceae,native,perennial,wetland forb,alisu,,
alliaria petiolata,garlic mustard,brassicaceae,introduced,biennial,weedy forb,allpe,,
allium canadense,wild garlic,amaryllidaceae,native,perennial,prairie forb,allca,canada garlic,560
allium cernuum,nodding wild onion,amaryllidaceae,native ,perennial,prairie forb,allce,,7600
allium stellatum,prairie onion,amaryllidaceae,native,perennial,prairie forb,allst,,11000
amaranthus retroflexus,rough pigweed,amaranthaceae,introduced,annual,weedy forb,amare,,
amaranthus tuberculatus,waterhemp,amaranthaceae,introduced,annual,weedy forb,amatu,,
ambrosia artemisiifolia,common ragweed,asteraceae,native,annual,weedy forb,ambar,,
ambrosia psilostachya,western ragweed,asteraceae,native,perennial,prairie forb,ambps,,
ambrosia trifida,giant ragweed,asteraceae,native,annual,weedy forb,ambtr,,
amorpha canescens,lead plant,fabaceae,native,perennial,prairie forb,amoca,,16000
andropogon gerardii,big bluestem,poaceae ,native ,perennial,prairie C4 grass,andge,,10000
anemone canadensis,canada anemone,ranunculaceae,native,perennial,prairie forb,aneca,,8000
anemone virginiana,tall thimbleweed,ranunculaceae,native,perennial,prairie forb,anevi,,28000
apocynum cannabinum,common dogbane,apocynaceae,native,perennial,prairie forb,apoca,indian hemp,20000
aquilegia canadensis,red columbine,ranunculaceae,native,perennial,prairie forb,aquca,,38000
arctium minus,common burdock,asteraceae,introduced,biennial,weedy forb,arcmi,,
arnoglossum plantagineum,prairie indian plantain,asteraceae,native,perennial,prairie forb,arnpl,,4700
artemisia ludoviciana,white prairie sage,asteraceae,native,perennial,prairie forb,artlu,,250000
asclepias incarnata,swamp milkweed,asclepiadaceae,native,perennial,prairie forb,ascin,,4800
asclepias syriaca,common milkweed,asclepiadaceae,native,perennial,prairie forb,ascsy,,4000
asclepias tuberosa,butterfly milkweed,asclepiadaceae,native,perennial,prairie forb,asctu,,4300
asclepias verticillata,whorled milkweed,asclepiadaceae,native,perennial,prairie forb,ascve,,11000
astragalus canadensis,canadian milk vetch,fabaceae,native,perennial,prairie forb,astca,,17000
avena sativa,oat, poaceae,introduced,annual,weedy C3 grass,avesa,,
baptisia alba,wild white indigo,fabaceae,native,perennial,prairie forb,bapal,false white indigo,1700
baptisia australis,blue indigo,fabaceae,native,perennial,prairie forb,bapau,blue false indigo,1500
baptisia bacteata,cream false indigo,fabaceae,native,perennial,prairie forb,bapbr,longbract wild indigo,1400
barbarea vulgaris,wild rocket,brassicaceae,introduced,biennial,weedy forb,barvu,wintercress,
bidens frondosa,common beggarticks,asteraceae,native,annual,weedy forb,bidfr,devil's beggarticks,
bidens vulgata,tall beggarticks,asteraceae,native,annual,weedy forb,bidvu,,
bouteloua curtipendula,side oats grama ,poaceae ,native ,perennial,prairie C4 grass,boucu,,6000
brickellia eupatorioides,false boneset,asteraceae,native,perennial,prairie forb,brieu,,32000
bromus inermis,smooth brome,poaceae ,introduced,perennial,weedy C3 grass,broin,,
bromus japonicus,field brome,poaceae ,introduced,perennial,weedy C3 grass,broja,,
bromus kalmii,kalm's brome,poaceae,native,perennial,prairie C3 grass,broka,,8000
bromus tectorum,downy brome,poaceae ,introduced,annual,weedy C3 grass,brote,cheatgrass,
calystegia sepium,hedge bindweed,convolvulaceae,native,perennial,weedy forb,calse,,
capsella bursa-pastoris,shepherd's-purse,brassicaceae,introduced,annual,weedy forb,capbu,,
carduus nutans,musk thistle,asteraceae,introduced,biennial,weedy forb,carnu,nodding thistle,
carex annectens,yellow Fox Sedge,cyperaceae,native,perennial,prairie sedge,caran,,90000
carex bicknelli,copper-shoulder oval sedge,cyperaceae,native,perennial,prairie sedge,carbi,,17000
carex gravida,long-awned bracted sedge,cyperaceae,native,perennial,prairie sedge,cargr,,12000
carex molesta,troublesome sedge,cyperaceae,native,perennial,prairie sedge,carmo,,25000
carex tribuloides,blunt broom sedge,cyperaceae,native,perennial,prairie sedge,cartr,,120000
carex vulpinoidea,brown  fox sedge,cyperaceae,native,perennial,prairie sedge,carvu,,100000
castilleja coccinea,indian paintbrush,scrophulariaceae,native ,perennial,prairie forb,casco,,300000
cerastium vulgare,mouse-ear chickweed,caryophyllaceae,introduced,perennial,weedy forb,cervu,,
chamaecrista fasciculata,partridge pea,fabaceae,native,annual,prairie forb,chafa,,2700
chenopodium album,lambsquarters,chenopodiaceae,introduced,annual,weedy forb,cheal,,
cichorium intybus,chicory,asteraceae,introduced,biennial,weedy forb,cicin,,
cirsium altissimum,tall thistle,asteraceae,native,biennial,prairie forb,ciral,,4800
cirsium arvense,canada thistle,asteraceae,introduced,perennial,weedy forb,cirar,field thistle,
cirsium discolor,pasture thistle,asteraceae,native,biennial,prairie forb,cirdi,,6400
cirsium vulgare,bull thistle,asteraceae,introduced,biennial,weedy forb,cirvu,,
commelina communis,asiatic dayflower,commelinaceae,introduced,annual,weedy forb,comco,,
convolvulus arvensis,field bindweed,convolvulaceae,introduced,perennial,weedy forb,conar,,
conyza canadensis,marestail,asteraceae,native,annual,weedy forb,conca,horseweed,
coreopsis palmata,prairie coreopsis,asteraceae,native,perennial,prairie forb,corpa,,10000
coreopsis tinctoria,plains coreopsis,asteraceae,native,perennial,prairie forb,corti,golden tickseed,87500
