quadratID,speciesID,cover,notes,flowering
mqw_2_1,helhe,5-25,,
mqw_2_1,ratpi,5-25,,
mqw_2_1,solcar,1-5,,
mqw_2_1,elyca,5-25,,
mqw_2_1,andge,25-50,,
mqw_2_1,broin,25-50,,
mqw_2_1,poapr,5-25,,
mqw_2_1,sornu,1-5,,
mqw_2_2,broin,50-75,,
mqw_2_2,poapr,25-50,,
mqw_2_2,andge,1-5,,
mqw_2_3,solca,5-25,,
mqw_2_3,moral,1-5,,
mqw_2_3,popde,1-5,cottonwood,
mqw_2_3,poapr,50-75,,
mqw_2_3,broin,50-75,,
mqw_2_3,unkn1,<1,seedling,
mqw_2_3,andge,1-5,,
mqw_2_4,solcar,1-5,,
mqw_2_4,morru,1-5,unkn seedling #2;serrated lvs;tree-ish,
mqw_2_4,andge,5-25,,
mqw_2_4,broin,75-95,,
mqw_2_4,amata,<1,,
mqw_2_4,tarof,1-5,,
mqw_2_4,poapr,5-25,,
mqw_1_1,rudhi,5-25,,
mqw_1_1,helhe,5-25,,
mqw_1_1,conca,5-25,,
mqw_1_1,cheal,1-5,,
mqw_1_1,solpt,5-25,,
mqw_1_1,achmi,1-5,,
mqw_1_1,monfi,5-25,,
mqw_1_1,elyca,5-25,,
mqw_1_1,agrre,1-5,,
mqw_1_1,andge,5-25,,
mqw_1_1,boucu,1-5,,
mqw_1_1,ambar,<1,,
mqw_1_1,setfa,5-25,,
mqw_1_2,ascin,5-25,,
mqw_1_2,helhe,25-50,,
mqw_1_2,rudhi,1-5,,
mqw_1_2,elyca,5-25,,
mqw_1_2,andge,5-25,,
mqw_1_2,setfa,5-25,,
mqw_1_2,sornu,1-5,,
mqw_1_2,boucu,1-5,,
mqw_1_3,solca,5-25,,
mqw_1_3,sornu,5-25,,
mqw_1_3,helhe,25-50,,
mqw_1_3,sympi,5-25,changed from symoo,
mqw_1_3,symno,1-5,,
mqw_1_3,ratpi,5-25,,
mqw_1_3,poapr,25-50,,
mqw_1_3,echpu,1-5,,
mqw_1_3,broin,5-25,,
mqw_1_4,helhe,75-95,,
mqw_1_4,symlan,1-5,sample taken,
mqw_1_4,poapr,5-25,,
mqw_1_4,elyca,<1,,
mqw_1_4,setfa,<1,,
mqw_1_6,rudsu,5-25,unkn #3;hybrid ratpi x rudhi;photo,
mqw_1_6,helhe,5-25,,
mqw_1_6,ratpi,5-25,,
mqw_1_6,conca,1-5,,
mqw_1_6,rudhi,1-5,,
mqw_1_6,monfi,5-25,,
mqw_1_6,andge,25-50,,
mqw_1_6,elyca,1-5,,
mqw_1_6,setfa,1-5,,
mqw_1_6,pendi,1-5,phlox? photo,
mqw_1_7,helhe,5-25,,
mqw_1_7,ratpi,5-25,,
mqw_1_7,elyca,5-25,,
mqw_1_7,sornu,5-25,,
mqw_1_7,monfi,5-25,,
mqw_1_7,andge,25-50,,
mqw_1_7,echpu,1-5,,
mqw_1_8,solpt,5-25,,
mqw_1_8,monfi,50-75,,
mqw_1_8,elyca,1-5,,
mqw_1_8,helhe,5-25,,
mqw_1_8,symlan,5-25,,
mqw_1_8,andge,1-5,,
mqw_1_8,solcar,1-5,,
mqw_1_9,ratpi,5-25,,
mqw_1_9,monfi,5-25,,
mqw_1_9,helhe,25-50,,
mqw_1_9,elyca,5-25,,
mqw_1_9,andge,5-25,,
mqw_1_10,symno,50-75,,
mqw_1_10,ratpi,5-25,,
mqw_1_10,helhe,5-25,,
mqw_1_10,monfi,5-25,,
mqw_1_10,andge,5-25,,
mqw_1_10,moral,5-25,,
mqw_1_10,phaar,25-50,,
mqw_1_10,broin,1-5,,
mqw_1_10,elyca,1-5,,
mqw_1_10,setfa,1-5,,
mqw_1_11,broin,25-50,,
mqw_1_11,desca,5-25,,
mqw_1_11,ratpi,25-50,,
mqw_1_11,solca,5-25,,
mqw_1_11,urtdi,5-25,,
mqw_1_11,andge,5-25,,
mqw_1_11,poapr,25-50,,
mqw_1_11,sornu,1-5,,
mqw_1_11,helhe,5-25,,
mqw_1_11,monfi,1-5,,
mqw_1_13,helhe,5-25,,
mqw_1_13,elyca,25-50,,
mqw_1_13,monfi,1-5,,
mqw_1_13,broin,25-50,,
mqw_1_13,oxast,<1,,
mqw_1_13,poapr,5-25,,
mqw_1_13,unkn5,<1,sunflower? sample taken,
mqw_1_13,agrre,1-5,,
mqw_1_13,sornu,1-5,,
mqw_1_14,helhe,50-75,,
mqw_1_14,moral,5-25,,
mqw_1_14,broin,25-50,,
mqw_1_14,solpt,5-25,,
mqw_1_15,ratpi,25-50,,
mqw_1_15,helhe,5-25,,
mqw_1_15,elyca,25-50,,
mqw_1_15,panvi,5-25,,
mqw_1_15,solca,5-25,,
mqw_1_15,agrre,1-5,,
mqw_1_15,andge,5-25,,
mqw_1_16,conca,5-25,,
mqw_1_16,helhe,75-95,,
mqw_1_16,elyca,5-25,,
mqw_1_16,setfa,5-25,,
mqw_1_16,echpu,1-5,,
mqw_1_17,helhe,25-50,,
mqw_1_17,elyca,5-25,,
mqw_1_17,solca,50-75,,
mqw_1_18,elyca,5-25,,
mqw_1_18,monfi,50-75,,
mqw_1_18,lacca,5-25,unkn #6; photo;lettuce looking,
mqw_1_18,agrre,5-25,,
mqw_1_20,verfa,25-50,ironweed,
mqw_1_20,helhe,25-50,,
mqw_1_20,elyca,5-25,,
mqw_1_20,andge,25-50,,
mqw_1_20,panvi,1-5,,
mqw_1_20,spohe,1-5,,
mqw_1_21,solca,75-95,,
mqw_1_21,oxast,<1,,
mqw_1_21,helhe,5-25,,
mqw_1_21,elyca,5-25,,
mqw_1_22,rudsu,50-75,,
mqw_1_22,solca,25-50,,
mqw_1_22,monfi,1-5,,
mqw_1_22,helhe,1-5,,
