quadratID,speciesID,cover,flowering,notes
rdm_1_1,chafa,50-75,,
rdm_1_1,tarof,25-50,,
rdm_1_1,trire,5-25,,
rdm_1_1,rudhi,1-5,,
rdm_1_1,elyca,1-5,,
rdm_1_1,echcr,1-5,,
rdm_1_1,setlu,5-25,,
rdm_1_1,helhe,1-5,,
rdm_1_1,sornu,5-25,,
rdm_1_1,andge,1-5,,
rdm_1_1,setfa,5-25,,
rdm_1_1,spohe,1-5,,
rdm_1_1,schsc,1-5,,
rdm_1_1,sympi,1-5,changed from symoo,
rdm_1_2,chafa,50-75,,
rdm_1_2,sympi,5-25,changed from symoo,
rdm_1_2,desca,5-25,,
rdm_1_2,astca,5-25,,
rdm_1_2,ratpi,5-25,,
rdm_1_2,rudhi,5-25,,
rdm_1_2,lacse,1-5,,
rdm_1_2,tarof,5-25,,
rdm_1_2,schsc,5-25,,
rdm_1_2,sornu,5-25,,
rdm_1_2,echpa,1-5,,
rdm_1_2,dalpu,<1,unkn #1 - photo;dalca?,
rdm_1_2,spohe,1-5,,
rdm_1_2,andge,1-5,,
rdm_1_2,setlu,1-5,,
rdm_1_3,melal,25-50,,
rdm_1_3,cirvu,5-25,,
rdm_1_3,vitri,1-5,wild grape,
rdm_1_3,sympi,25-50,changed from symoo,
rdm_1_3,chafa,25-50,,
rdm_1_3,tarof,1-5,,
rdm_1_3,conca,5-25,,
rdm_1_3,lacse,1-5,,
rdm_1_3,ratpi,1-5,,
rdm_1_3,rudhi,<1,,
rdm_1_3,plama,1-5,,
rdm_1_3,setfa,5-25,,
rdm_1_3,schsc,1-5,,
rdm_1_3,sornu,1-5,,
rdm_1_3,agrre,1-5,,
rdm_1_3,dauca,1-5,,
rdm_1_4,boucu,5-25,,
rdm_1_4,solca,5-25,,
rdm_1_4,ratpi,25-50,,
rdm_1_4,symla,5-25,,
rdm_1_4,cirar,5-25,,
rdm_1_4,sympi,5-25,changed from symoo,
rdm_1_4,dalca,5-25,originally on datasheet as "galca",
rdm_1_4,chafa,1-5,,
rdm_1_4,tarof,5-25,,
rdm_1_4,lacse,1-5,,
rdm_1_4,andge,1-5,,
rdm_1_4,dauca,<1,,
rdm_1_4,spohe,1-5,,
rdm_1_4,zizau,<1,,
rdm_1_4,rudhi,5-25,,
rdm_1_4,symno,1-5,,
rdm_1_5,ratpi,25-50,,
rdm_1_5,tarof,25-50,,
rdm_1_5,conca,5-25,,
rdm_1_5,lacse,1-5,,
rdm_1_5,sympi,5-25,changed from symoo,
rdm_1_5,setfa,50-75,,
rdm_1_5,oxast,<1,,
rdm_1_5,dauca,<1,,
rdm_1_5,trire,1-5,,
rdm_1_5,moral,<1,,
rdm_1_6,trire,5-25,area mowed recently,
rdm_1_6,tarof,5-25,area mowed recently,
rdm_1_6,ambar,5-25,area mowed recently,
rdm_1_6,dauca,<1,area mowed recently,
rdm_1_6,ratpi,1-5,area mowed recently,
rdm_1_6,monfi,1-5,area mowed recently,
rdm_1_6,solca,1-5,area mowed recently,
rdm_1_6,setlu,1-5,area mowed recently,
rdm_1_6,andge,1-5,area mowed recently,
rdm_1_7,echpa,1-5,area mowed recently,
rdm_1_7,ambar,1-5,area mowed recently,
