quadratID,speciesID,cover,notes,flowering
sme_2_1,ratpi,25-50,,
sme_2_1,monfi,5-25,,
sme_2_1,solca,5-25,,
sme_2_1,rudhi,1-5,,
sme_2_1,tarof,5-25,,
sme_2_1,trire,1-5,,
sme_2_1,broin,50-75,,
sme_2_1,andge,1-5,,
sme_2_2,ratpi,25-50,,
sme_2_2,monfi,5-25,,
sme_2_2,poatr,25-50,,
sme_2_2,tarof,5-25,,
sme_2_2,solri,5-25,,
sme_2_2,trire,5-25,,
sme_2_2,symoo,1-5,,
sme_2_2,rudhi,5-25,,
sme_2_2,leoca,1-5,unkn #1 - photo;square stem,
sme_2_2,oxast,1-5,,
sme_2_2,polpe,1-5,,
sme_2_2,lacse,1-5,,
sme_2_2,andge,5-25,,
sme_2_2,setlu,1-5,,
sme_2_2,horju,1-5,,
sme_2_2,boucu,1-5,,
sme_2_2,echcr,1-5,,
sme_2_2,broin,1-5,,
sme_2_2,digsa,<1,,
sme_2_3,melof,5-25,yellow sweet clover,
sme_2_3,rudhi,5-25,,
sme_2_3,tarof,25-50,,
sme_2_3,helhe,5-25,,
sme_2_3,cirar,5-25,,
sme_2_3,ratpi,5-25,,
sme_2_3,polpe,1-5,,
sme_2_3,schsc,5-25,,
sme_2_3,setfa,<1,,
sme_2_4,medlu,25-50,,
sme_2_4,horju,1-5,,
sme_2_4,setlu,5-25,,
sme_2_4,ratpi,25-50,,
sme_2_4,tarof,5-25,,
sme_2_4,tripr,5-25,,
sme_2_4,trire,5-25,,
sme_2_4,agrre,5-25,,
sme_2_4,symoo,5-25,,
sme_2_4,rudhi,1-5,,
sme_1_1,ratpi,25-50,,
sme_1_1,solca,5-25,,
sme_1_1,symoo,25-50,,
sme_1_1,tarof,1-5,,
sme_1_1,lacse,1-5,,
sme_1_1,helhe,1-5,,
sme_1_1,broja,25-50,,
sme_1_1,trire,1-5,,
sme_1_1,oxast,<1,,
sme_1_2,cirar,25-50,,
sme_1_2,leoca,1-5,,
sme_1_2,rudhi,5-25,,
sme_1_2,conca,5-25,,
sme_1_2,lacse,5-25,,
sme_1_2,ratpi,1-5,,
sme_1_2,broja,5-25,,
sme_1_2,setlu,1-5,,
sme_1_2,solri,5-25,,
sme_1_2,tarof,5-25,,
sme_1_2,trire,1-5,,
sme_1_2,aquca,1-5,,
sme_1_3,amata,<1,,
sme_1_3,solca,25-50,,
sme_1_3,symoo,5-25,,
sme_1_3,echcr,25-50,,
sme_1_3,tripr,5-25,,
sme_1_3,cirar,1-5,,
sme_1_3,broin,5-25,,
sme_1_4,unkn2,5-25,ratpi-ish;photo,
sme_1_4,rumcr,5-25,,
sme_1_4,polpe,5-25,,
sme_1_4,tarof,1-5,,
sme_1_4,cirar,1-5,,
sme_1_4,symoo,5-25,,
sme_1_4,setlu,5-25,,
sme_1_4,aceru,1-5,maple tree,
sme_1_4,trire,1-5,,
sme_1_4,ratpi,1-5,,
sme_1_4,poapr,25-50,,
sme_1_4,solca,5-25,,
sme_1_4,lacse,1-5,,
sme_1_5,unkn2,25-50,,
sme_1_5,symoo,25-50,,
sme_1_5,rumcr,25-50,,
sme_1_5,tarof,1-5,,
sme_1_5,plama,5-25,,
sme_1_5,tripr,5-25,,
sme_1_5,ratpi,1-5,,
sme_1_5,setlu,5-25,,
sme_1_5,echcr,5-25,,
sme_1_5,polpe,1-5,,
sme_1_5,oxast,1-5,,
sme_1_5,silin,1-5,,
sme_1_5,lacse,1-5,,
sme_1_5,poapr,1-5,,
sme_1_5,amata,<1,,
sme_1_6,horju,25-50,,
sme_1_6,solca,25-50,,
sme_1_6,phaar,5-25,,
sme_1_6,rudhi,5-25,,
sme_1_6,cirar,5-25,,
sme_1_6,symoo,5-25,,
sme_1_6,poapr,5-25,,
sme_1_6,symoo,1-5,,
sme_1_6,trire,1-5,,
sme_1_6,setlu,1-5,,
sme_1_6,rumcr,1-5,,
sme_1_7,cirar,50-75,,
sme_1_7,solca,5-25,,
sme_1_7,tarof,5-25,,
sme_1_7,setlu,25-50,,
sme_1_7,echcr,1-5,,
sme_1_7,symoo,5-25,,
sme_1_7,conca,1-5,,
sme_1_7,digsa,1-5,,
sme_1_7,setvi,5-25,,
sme_1_7,polpe,1-5,,
sme_1_7,sonas,1-5,unkn #3 - sonchus? photo,
sme_1_8,solca,5-25,,
sme_1_8,symoo,5-25,,
sme_1_8,solri,1-5,,
sme_1_8,helgr,25-50,,
sme_1_8,trire,1-5,,
sme_1_8,cirar,1-5,,
sme_1_8,rudhi,5-25,,
sme_1_8,plama,1-5,,
sme_1_8,agrre,25-50,,
sme_1_8,poapr,5-25,,
sme_1_8,echcr,1-5,,
sme_1_8,setlu,5-25,,
sme_1_9,cirar,25-50,,
sme_1_9,solca,5-25,,
sme_1_9,tarof,5-25,,
sme_1_9,plama,1-5,,
sme_1_9,rudhi,5-25,,
sme_1_9,conca,1-5,,
sme_1_9,trire,5-25,,
sme_1_9,lacse,1-5,,
sme_1_9,setlu,25-50,,
sme_1_9,tripr,1-5,,
sme_1_9,symoo,5-25,,
sme_1_9,polpe,1-5,,
sme_1_10,zizau,5-25,,
sme_1_10,cirar,25-50,,
sme_1_10,conca,1-5,,
sme_1_10,lacse,1-5,,
sme_1_10,solca,1-5,,
sme_1_10,rudhi,5-25,,
sme_1_10,setlu,25-50,,
sme_1_10,symoo,5-25,,
sme_1_10,poapr,5-25,,
sme_1_10,erivi,1-5,,
sme_1_11,cirar,25-50,,
sme_1_11,conca,5-25,,
sme_1_11,tarof,5-25,,
sme_1_11,setfa,1-5,,
sme_1_11,lacse,1-5,,
sme_1_11,setlu,5-25,,
sme_1_11,oxast,1-5,,
sme_1_12,cirar,75-95,,
sme_1_12,conca,5-25,,
sme_1_12,andge,1-5,,
sme_1_12,setlu,25-50,,
sme_1_12,tarof,1-5,,
sme_1_12,symoo,1-5,,
sme_1_12,schsc,5-25,,
sme_1_13,solri,25-50,,
sme_1_13,ratpi,5-25,,
sme_1_13,dalca,1-5,,
sme_1_13,trire,25-50,,
sme_1_13,agrre,5-25,,
sme_1_13,tarof,1-5,,
sme_1_13,helhe,1-5,,
sme_1_13,cirar,1-5,,
sme_1_13,broin,5-25,,
sme_1_13,ascin,<1,,
sme_1_13,rudhi,1-5,,
sme_1_13,solca,5-25,,
sme_1_13,horju,1-5,,
sme_1_14,eryyu,5-25,,
sme_1_14,desil,5-25,,
sme_1_14,monfi,1-5,,
sme_1_14,tripr,25-50,,
sme_1_14,cirar,5-25,,
sme_1_14,tarof,5-25,,
sme_1_14,medlu,1-5,,
sme_1_14,conca,1-5,,
sme_1_14,horju,5-25,,
sme_1_14,setlu,25-50,,
sme_1_14,ascin,<1,,
sme_1_14,oxast,<1,,
sme_1_14,poapr,5-25,,
sme_1_14,setfa,1-5,,
sme_1_14,digsa,1-5,,
sme_1_15,ascsy,5-25,,
sme_1_15,chafa,1-5,,
sme_1_15,cirar,5-25,,
sme_1_15,symoo,25-50,,
sme_1_15,helhe,5-25,,
sme_1_15,oxast,<1,,
sme_1_15,broin,25-50,,
sme_1_15,tarof,5-25,,
sme_1_15,rudhi,1-5,,
sme_1_15,trire,5-25,,
sme_1_15,setlu,1-5,,
sme_1_15,setfa,5-25,,
sme_1_15,broja,5-25,,
sme_1_15,poapr,1-5,,
sme_1_16,ratpi,5-25,,
sme_1_16,monfi,25-50,,
sme_1_16,tripr,25-50,,
sme_1_16,cirar,5-25,,
sme_1_16,tarof,1-5,,
sme_1_16,medlu,1-5,,
sme_1_16,broin,25-50,,
sme_1_16,agrre,25-50,,
sme_1_16,equar,5-25,unkn #4 - horseweed;spidery;photo,
sme_1_17,ratpi,5-25,,
sme_1_17,monfi,25-50,,
sme_1_17,solca,5-25,,
sme_1_17,phaar,5-25,,
sme_1_17,broin,25-50,,
sme_1_17,vioso,1-5,unkn #5 - photo;garlic mustard,
sme_1_17,symoo,5-25,,
sme_1_17,medlu,1-5,,
sme_1_17,setlu,1-5,,
sme_1_17,rudhi,1-5,,
sme_1_17,tarof,<1,,
sme_1_18,cirar,5-25,,
sme_1_18,broin,50-75,,
sme_1_18,medlu,5-25,,
sme_1_18,agrre,5-25,,
sme_1_18,rudhi,1-5,,
sme_1_19,ratpi,25-50,,
sme_1_19,monfi,5-25,,
sme_1_19,tripr,25-50,,
sme_1_19,broin,25-50,,
sme_1_19,agrre,5-25,,
sme_1_19,medlu,1-5,,
sme_1_19,polco,<1,,
sme_1_19,tarof,1-5,,
sme_1_20,broin,50-75,,
sme_1_20,symoo,5-25,,
sme_1_20,cirar,1-5,,
sme_1_20,tripr,5-25,,
sme_1_20,ratpi,5-25,,
sme_1_20,tarof,1-5,,
