quadratID,speciesID,cover,notes,flowering
wat_1_1,elyvi,1-5,,
wat_1_1,elyca,5-25,,
wat_1_1,dacgl,5-25,unkn grass #1;sample,
wat_1_1,plama,1-5,,
wat_1_1,ambar,5-25,,
wat_1_1,conca,5-25,,
wat_1_1,medsa,5-25,,
wat_1_1,symer,1-5,,
wat_1_1,tarof,1-5,,
wat_1_1,helgi,1-5,,
wat_1_1,ratpi,1-5,,
wat_1_1,setfa,1-5,unkn grass #2;sample,
wat_1_2,lacse,1-5,,
wat_1_2,helhe,25-50,,yes
wat_1_2,elyca,5-25,,
wat_1_2,elyvi,25-50,,
wat_1_2,andge,1-5,,
wat_1_2,medsa,<1,,
wat_1_3,medsa,5-25,,
wat_1_3,dacgl,5-25,unkn grass #1;sample,
wat_1_3,elyvi,5-25,,
wat_1_3,broin,5-25,,
wat_1_3,andge,5-25,,
wat_1_3,ambar,1-5,,
wat_1_4,phlpr,25-50,,
wat_1_4,elyca,5-25,,
wat_1_4,conca,1-5,,
wat_1_4,ambar,1-5,,
wat_1_4,elyvi,5-25,,
wat_1_4,thlar,<1,,
wat_1_4,lacse,1-5,,
wat_1_4,dacgl,5-25,,
wat_1_5,ratpi,5-25,,yes
wat_1_5,ambar,5-25,,
wat_1_5,broin,50-75,,
wat_1_5,dacgl,5-25,,
wat_1_5,phlpr,1-5,,
wat_1_5,elyvi,5-25,,
wat_1_5,helhe,1-5,,yes
wat_1_5,medsa,<1,,
wat_1_6,ambar,50-75,,
wat_1_6,dacgl,5-25,,
wat_1_6,panvi,5-25,,
wat_1_6,thlar,1-5,,
wat_1_6,tripr,5-25,,
wat_1_6,horju,1-5,,
wat_1_6,pruse,1-5,unkn forb #2;sample,
wat_1_6,broin,5-25,,
wat_1_6,andge,<1,,
wat_1_6,phlpr,<1,,
wat_1_6,elyca,1-5,,
wat_1_7,dauca,25-50,,
wat_1_7,ambar,5-25,,
wat_1_7,elyvi,25-50,,
wat_1_7,symer,1-5,unkn aster #1,
wat_1_7,thlar,1-5,,
wat_1_7,dacgl,5-25,,
wat_1_7,phlpr,1-5,,
wat_2_1,ambtr,50-75,,
wat_2_1,conca,1-5,,
wat_2_1,symer,1-5,,
wat_2_1,phlpr,1-5,,
wat_2_1,dacgl,5-25,,
wat_2_1,ambar,5-25,,
wat_2_1,tarof,5-25,,
wat_2_1,medsa,5-25,,
wat_2_1,elyca,1-5,,
wat_2_2,cirar,5-25,,
wat_2_2,helgi,1-5,,
wat_2_2,plama,1-5,,
wat_2_2,medsa,5-25,,
wat_2_2,cicin,5-25,unkn forb #3;weedy lettuce - blue flower;photo and sample,yes
wat_2_2,lacse,5-25,,
wat_2_2,elyvi,1-5,,
wat_2_2,dacgl,25-50,,
wat_2_2,conca,1-5,,
wat_2_2,tarof,1-5,,
wat_2_2,ambar,1-5,,
wat_2_3,elyvi,25-50,,
wat_2_3,dacgl,5-25,,
wat_2_3,plama,1-5,,
wat_2_3,elyca,1-5,,
wat_2_3,tripr,1-5,,
wat_2_3,poapr,50-75,,
wat_2_3,ambar,<1,,
wat_2_3,dauca,<1,,
wat_2_4,dacgl,5-25,bare ground 50-75%,
wat_2_4,tarof,5-25,bare ground 50-75%,
wat_2_4,ambar,5-25,bare ground 50-75%,
wat_2_4,panvi,1-5,bare ground 50-75%,
wat_2_4,conca,1-5,bare ground 50-75%,
wat_2_4,phlpr,1-5,bare ground 50-75%,
