quadratID,speciesID,cover,notes,flowering
slo_1_1,cirar,25-50,,
slo_1_1,elyvi,25-50,,
slo_1_1,solca,5-25,,
slo_1_1,dauca,1-5,,
slo_1_1,carvu,5-25,fox sedge,
slo_1_2,panvi,25-50,,
slo_1_2,cirar,5-25,,
slo_1_2,elyvi,25-50,,
slo_1_2,dauca,5-25,,
slo_1_2,tarof,5-25,,
slo_1_2,verst,<1,,
slo_1_2,solca,<1,,
slo_1_3,andge,25-50,,
slo_1_3,carvu,5-25,,
slo_1_3,ratpi,1-5,,
slo_1_3,elyca,5-25,,
slo_1_3,aggre,5-25,quackgrass,
slo_1_3,panvi,5-25,,
slo_1_3,cirar,1-5,,
slo_1_4,solri,25-50,,
slo_1_4,cirar,25-50,,
slo_1_4,panvi,5-25,,
slo_1_4,elyvi,5-25,,
slo_1_4,rudhi,5-25,seedlings,
slo_1_4,trire,<1,,
slo_1_4,sornu,1-5,,
slo_1_5,zizau,5-25,,
slo_1_5,verst,5-25,,yes
slo_1_5,lacse,1-5,,
slo_1_5,sornu,5-25,,
slo_1_5,schsc,5-25,,
slo_1_5,conca,1-5,,
slo_1_5,spoco,1-5,,
slo_1_5,elyvi,5-25,,
slo_1_5,tarof,5-25,,
slo_1_5,solca,1-5,,
slo_1_5,andge,1-5,,
slo_1_5,boucu,<1,,
slo_1_6,solri,5-25,,
slo_1_6,carvu,5-25,,
slo_1_6,helhe,5-25,,yes
slo_1_6,zizau,5-25,seedlings,
slo_1_6,tarof,1-5,,
slo_1_6,conca,<1,,
slo_1_6,andge,5-25,,
slo_1_6,elyvi,25-50,seedlings and tall,
slo_1_6,verst,<1,,
slo_1_6,panvi,1-5,,
slo_1_7,cirar,25-50,,
slo_1_7,monfi,5-25,,yes
slo_1_7,symoo,25-50,,
slo_1_7,elyca,1-5,,
slo_1_7,elyvi,1-5,,
slo_1_7,calse,1-5,unknown weed #1;sample+photo;white flower,
slo_1_7,sornu,1-5,,
slo_1_7,zizau,5-25,,
slo_1_7,tarof,1-5,,
slo_2_1,helpa,5-25,unknown sunflower;photo,
slo_2_1,broin,25-50,,
slo_2_1,cirar,1-5,,
slo_2_1,panvi,5-25,,
slo_2_1,elyvi,5-25,,
slo_2_1,andge,25-50,,
slo_2_1,zizau,<1,,
slo_2_2,cirvu,5-25,,
slo_2_2,ratpi,5-25,,yes
slo_2_2,elyca,25-50,,
slo_2_2,andge,25-50,,
slo_2_2,panvi,5-25,,
slo_2_2,sornu,5-25,,
slo_2_2,dauca,1-5,,
slo_2_3,rudhi,1-5,,,,
slo_2_3,sornu,50-75,,
slo_2_3,elyvi,25-50,,
slo_2_3,carvu,<1,,
slo_2_3,andge,5-25,,
slo_2_3,solne,1-5,,
slo_2_3,tarof,1-5,,
slo_4_1,monfi,5-25,,
slo_4_1,echpa,25-50,,
slo_4_1,ratpi,1-5,,
slo_4_1,andge,25-50,,
slo_4_1,carvu,5-25,,
slo_4_1,elyvi,5-25,,
slo_4_2,panvi,1-5,,
slo_4_2,schsc,5-25,,
slo_4_2,boucu,1-5,,
slo_4_2,andge,25-50,,
slo_4_2,elyvi,50-75,,
slo_4_3,schsc,25-50,,
slo_4_3,broin,25-50,,
slo_4_3,elyca,5-25,,
slo_4_3,andge,25-50,,
slo_4_3,boucu,1-5,,
slo_3_1,verst,1-5,thatchy,
slo_3_1,solca,1-5,thatchy,
slo_3_1,rudhi,5-25,thatchy,
slo_3_1,tarof,5-25,thatchy,
slo_3_1,sornu,1-5,thatchy,
slo_3_1,andge,25-50,thatchy,
slo_3_1,elyvi,25-50,thatchy,
slo_3_2,tripr,5-25,,yes
slo_3_2,cirar,1-5,,
slo_3_2,carvu,1-5,,
slo_3_2,broin,50-75,,
slo_3_2,ratpi,1-5,,
slo_3_2,andge,5-25,,
slo_3_3,solri,50-75,,
slo_3_3,dalpu,1-5,,
slo_3_3,sornu,5-25,,
slo_3_3,monfi,5-25,,
slo_3_3,schsc,5-25,,
slo_3_3,spohe,1-5,,
slo_3_3,tripr,1-5,,
slo_3_3,andge,5-25,,
slo_3_4,solri,25-50,,
slo_3_4,tripr,5-25,,
slo_3_4,sornu,5-25,,
slo_3_4,schsc,25-50,,
slo_3_4,andge,25-50,,
slo_3_4,elyvi,5-25,,
slo_3_4,helhe,1-5,,
slo_3_5,solri,5-25,,
slo_3_5,tarof,1-5,,
slo_3_5,sornu,5-25,,
slo_3_5,schsc,1-5,,
slo_3_5,verst,1-5,,
slo_3_5,elyvi,5-25,,
slo_3_5,andge,25-50,,
slo_3_5,panvi,1-5,,
slo_5_6,lacse,5-25,,
slo_5_6,solca,25-50,,
slo_5_6,elyvi,25-50,,
slo_5_6,tarof,1-5,,
slo_5_6,sornu,25-50,,
slo_5_6,panvi,1-5,,
slo_5_6,andge,5-25,,
slo_5_5,cirar,5-25,,
slo_5_5,elyvi,50-75,,
slo_5_5,elyca,5-25,,
slo_5_5,andge,1-5,,
slo_5_4,solca,25-50,,
slo_5_4,elyca,25-50,,
slo_5_4,andge,5-25,,
slo_5_4,tarof,1-5,,
slo_5_4,elyvi,50-75,thatchy seedlings,
slo_5_3,ratpi,5-25,,
slo_5_3,cirar,1-5,,
slo_5_3,sornu,1-5,,
slo_5_3,andge,25-50,,
slo_5_3,schsc,25-50,,
slo_5_3,elyvi,25-50,,
slo_5_2,zizau,5-25,,
slo_5_2,monfi,5-25,,yes
slo_5_2,sornu,5-25,,
slo_5_2,andge,5-25,,
slo_5_2,elyvi,50-75,seedling thatch,
slo_5_2,elyca,1-5,,
slo_5_2,boucu,1-5,,
slo_5_1,verst,5-25,,
slo_5_1,vitri,1-5,unknown tree seedling;photo,
slo_5_1,helpa,1-5,,
slo_5_1,andge,25-50,,
slo_5_1,carvu,5-25,,
slo_5_1,panvi,1-5,,
slo_5_1,sornu,5-25,,
slo_5_1,elyvi,25-50,,
