quadratID,speciesID,cover, notes, flowering
gos_1_1,solca,50-75,,
gos_1_1,apoca,1-5,check with photo;changed from ascsy,
gos_1_1,rudhi,5-25,,
gos_1_1,dauca,1-5,,
gos_1_1,broin,25-50,,
gos_1_1,setlu,5-25,,
gos_1_2,symlan,5-25,unkn aster #1;photo + sample;smooth blue,
gos_1_2,solca,5-25,,
gos_1_2,rudhi,5-25,,
gos_1_2,dauca,1-5,,
gos_1_2,poapr,5-25,,
gos_1_2,broin,25-50,,
gos_1_2,cirar,1-5,,
gos_1_2,dacgl,1-5,,
gos_1_2,setlu,5-25,,
gos_1_3,erivi,50-75,,
gos_1_3,setfa,25-50,,
gos_1_3,ambar,1-5,,
gos_1_3,solca,5-25,,
gos_1_3,rudhi,<1,,
gos_1_3,broin,5-25,,
gos_1_3,setlu,5-25,,
gos_2_1,solca,75-95,,
gos_2_1,rudhi,1-5,,
gos_2_1,broin,1-5,,
gos_2_1,potsi,<1,unknown seedling #1;photo,
gos_2_1,cirar,<1,,
gos_2_2,solca,25-50,,
gos_2_2,rudhi,5-25,,
gos_2_2,ascsy,5-25,,
gos_2_2,oxast,<1,,
gos_2_2,cirar,1-5,,
gos_2_2,tripr,<1,,
gos_2_2,verur,5-25,unknown weed #1;vervain type w/ white flowers,
gos_2_2,setlu,25-50,,
gos_2_2,poapr,5-25,,
gos_2_2,chafa,1-5,,
gos_2_2,galap,5-25,unknown weed #2;photo - sticky whorl lvs,
gos_2_2,broin,5-25,,
gos_2_2,sornu,5-25,,
gos_2_3,solca,25-50,,
gos_2_3,symlan,5-25,photo too,
gos_2_3,rudhi,5-25,,
gos_2_3,dauca,1-5,,
gos_2_3,oxast,<1,,
gos_2_3,rumcr,1-5,"burdock seedling";photo,
gos_2_3,verur,<1,vervain,
gos_2_3,fesar,25-50,,
gos_2_3,setlu,5-25,,
gos_2_3,broin,25-50,,
gos_2_3,plala,1-5,,
gos_2_3,poapr,5-25,,
gos_3_1,solca,50-75,,
gos_3_1,setfa,25-50,,
gos_3_1,dalpu,1-5,,
gos_3_1,dauca,1-5,,
gos_3_1,rudhi,1-5,,
gos_3_1,cirvu,1-5,,
gos_3_1,fesar,5-25,,
gos_3_1,broin,5-25,,
gos_3_1,tarof,1-5,,
gos_3_1,tripr,<1,,
gos_3_2,solca,5-25,,
gos_3_2,medlu,5-25,sample;unknown medic;changed from tripr,
gos_3_2,amata,<1,,
gos_3_2,dauca,1-5,,
gos_3_2,rudhi,5-25,,
gos_3_2,symoo,1-5,,
