quadratID,speciesID,cover
ser_1_1,elyca,5-25
ser_1_1,chafa,5-25
ser_1_1,ratpi,5-25
ser_1_1,helhe,5-25
ser_1_1,desil,<1
ser_1_1,rudhi,1-5
ser_1_1,asctu,1-5
ser_1_1,spohe,5-25
ser_1_1,tarof,<1
ser_1_1,conca,1-5
ser_1_1,zizau,<1
ser_1_1,monfi,5-25
ser_1_1,schsc,5-25
ser_1_1,sornu,1-5
ser_1_2,elyca,5-25
ser_1_2,helhe,25-50
ser_1_2,ratpi,5-25
ser_1_2,ascsy,1-5
ser_1_2,asctu,1-5
ser_1_2,chafa,1-5
ser_1_2,schsc,25-50
ser_1_2,tarof,1-5
ser_1_2,spohe,5-25
ser_1_2,boucu,1-5
ser_1_3,helhe,25-50
ser_1_3,elyca,25-50
ser_1_3,chafa,1-5
ser_1_3,conca,5-25
ser_1_3,tarof,1-5
ser_1_3,ipohe,1-5
ser_1_3,schsc,5-25
ser_1_3,boucu,1-5
ser_1_4,conca,5-25
ser_1_4,elyca,25-50
ser_1_4,symoo,5-25
ser_1_4,ipohe,1-5
ser_1_4,bapal,1-5
ser_1_4,helhe,1-5
ser_1_4,schsc,5-25
ser_1_4,tarof,<1
ser_1_4,zizau,<1
ser_2_1,eupse,5-25
ser_2_1,conca,5-25
ser_2_1,dalca,5-25
ser_2_1,eupnu,<1
ser_2_1,setlu,5-25
ser_2_1,schsc,5-25
ser_2_1,poapr,1-5
ser_2_1,boucu,5-25
ser_2_1,oxast,<1
ser_2_1,erivi,1-5
ser_2_1,spohe,5-25
ser_2_1,moral,1-5
ser_2_1,elyca,5-25
ser_2_1,tarof,1-5
ser_2_1,symoo,1-5
ser_2_2,potar,5-25
ser_2_2,lacse,5-25
ser_2_2,oxast,1-5
ser_2_2,cheal,1-5
ser_2_2,dalca,<1
ser_2_2,setlu,50-75
ser_2_2,elyca,5-25
ser_2_2,tarof,1-5
ser_2_2,eupnu,1-5
ser_2_2,conca,1-5
ser_2_3,conca,50-75
ser_2_3,elyca,25-50
ser_2_3,chafa,5-25
ser_2_3,ipohe,5-25
ser_2_3,cheal,5-25
ser_2_3,capbu,5-25
ser_2_3,setfa,5-25
ser_2_4,conca,5-25
ser_2_4,bapal,1-5
ser_2_4,tarof,5-25
ser_2_4,schsc,5-25
ser_2_4,setlu,5-25
ser_2_4,rudhi,1-5
ser_2_4,setfa,1-5
ser_2_4,spohe,5-25
ser_2_4,chafa,<1
ser_2_4,symoo,1-5
ser_2_4,cheal,1-5
ser_2_4,elyca,1-5
ser_2_5,chafa,<1
ser_2_5,helhe,5-25
ser_2_5,conca,5-25
ser_2_5,tarof,25-50
ser_2_5,dalca,5-25
ser_2_5,setvi,1-5
ser_2_5,trire,5-25
ser_2_5,spohe,5-25
ser_2_5,setfa,5-25
ser_2_5,solca,5-25
ser_2_5,elyca,1-5
ser_2_5,ipohe,1-5
ser_2_6,symoo,25-50
ser_2_6,tarof,5-25
ser_2_6,rudhi,5-25
ser_2_6,ipohe,1-5
ser_2_6,setlu,1-5
ser_2_6,setfa,5-25
ser_2_6,tripr,1-5
ser_2_6,conca,1-5
ser_2_6,elyca,1-5
ser_2_6,lacse,1-5
ser_2_7,monfi,25-50
ser_2_7,ratpi,5-25
ser_2_7,lacse,5-25
ser_2_7,helhe,5-25
ser_2_7,elyca,25-50
ser_2_7,rudhi,1-5
ser_2_7,setfa,1-5
ser_2_7,erivi,1-5
ser_2_7,symoo,1-5
ser_2_8,monfi,25-50
ser_2_8,helhe,5-25
ser_2_8,ratpi,5-25
ser_2_8,elyca,25-50
ser_2_8,sornu,5-25
ser_2_8,schsc,5-25
ser_2_8,boucu,5-25
ser_2_8,asctu,1-5
ser_2_8,andge,1-5
ser_2_8,desca,1-5
ser_2_8,spohe,1-5
ser_2_9,tarof,5-25
ser_2_9,rudhi,5-25
ser_2_9,conca,5-25
ser_2_9,setfa,50-75
ser_2_9,ipohe,1-5
ser_2_9,elyca,1-5
ser_2_9,abuth,<1
ser_2_10,sornu,1-5
ser_2_10,schsc,25-50
ser_2_10,boucu,5-25
ser_2_10,chafa,1-5
ser_2_10,dalca,5-25
ser_2_10,rudhi,5-25
ser_2_10,lacse,<1
ser_2_10,conca,<1
ser_2_10,elyca,5-25
ser_2_10,spohe,1-5
ser_2_11,monfi,5-25
ser_2_11,helhe,5-25
ser_2_11,ratpi,5-25
ser_2_11,elyca,5-25
ser_2_11,bapal,1-5
ser_2_11,zizau,<1
ser_2_11,chafa,1-5
ser_2_11,desca,1-5
ser_2_11,spohe,25-50
ser_2_11,dalca,1-5
ser_2_11,conca,<1
ser_2_11,schsc,5-25
ser_2_11,boucu,5-25
ser_2_12,helhe,25-50
ser_2_12,monfi,5-25
ser_2_12,dalca,5-25
ser_2_12,desil,5-25
ser_2_12,ratpi,5-25
ser_2_12,elyca,5-25
ser_2_12,schsc,5-25
ser_2_12,spohe,25-50
ser_2_12,sornu,1-5
ser_2_12,andge,1-5
ser_2_12,boucu,1-5
ser_2_13,solpt,5-25
ser_2_13,elyca,25-50
ser_2_13,conca,1-5
ser_2_13,ambtr,5-25
ser_2_13,helhe,5-25
ser_2_13,setfa,1-5
ser_2_13,schsc,5-25
ser_2_13,spohe,5-25
ser_2_13,melal,1-5
ser_2_13,ipohe,<1
ser_2_14,phyhe,5-25
ser_2_14,ambtr,5-25
ser_2_14,desca,5-25
ser_2_14,dalca,1-5
ser_2_14,ipohe,<1
ser_2_14,oxast,1-5
ser_2_14,conca,1-5
ser_2_14,elyca,50-75
ser_2_15,chafa,1-5
ser_2_15,helhe,25-50
ser_2_15,ratpi,25-50
ser_2_15,dalca,1-5
ser_2_15,solpt,5-25
ser_2_15,schsc,5-25
ser_2_15,spohe,5-25
ser_2_15,boucu,5-25
ser_2_15,elyca,1-5
ser_2_15,setfa,<1
ser_2_16,elyca,50-75
ser_2_16,schsc,5-25
ser_2_16,boucu,25-50
ser_2_16,poapr,1-5
ser_2_17,chafa,1-5
ser_2_17,rudhi,5-25
ser_2_17,solpt,5-25
ser_2_17,dalca,1-5
ser_2_17,ratpi,<1
ser_2_17,ipohe,<1
ser_2_17,solca,1-5
ser_2_17,conca,5-25
ser_2_17,spohe,1-5
ser_2_17,schsc,1-5
ser_2_17,elyca,5-25
ser_2_17,setfa,5-25
ser_2_17,tarof,1-5
ser_2_18,potvi,5-25
ser_2_18,conca,50-75
ser_2_18,helhe,5-25
ser_2_18,ambtr,5-25
ser_2_18,solpt,1-5
ser_2_18,oxast,<1
ser_2_18,lacse,1-5
ser_2_18,boucu,1-5
ser_2_18,setfa,1-5
ser_2_18,melal,1-5
ser_2_19,conca,5-25
ser_2_19,symoo,5-25
ser_2_19,dalca,5-25
ser_2_19,elyca,5-25
ser_2_19,boucu,5-25
ser_2_19,spohe,5-25
ser_2_19,elyca,5-25
ser_2_20,chafa,1-5
ser_2_20,rudhi,5-25
ser_2_20,conca,25-50
ser_2_20,symoo,5-25
ser_2_20,tripr,1-5
ser_2_20,moral,1-5
ser_2_20,desil,1-5
ser_2_20,ipohe,<1
ser_2_20,helhe,5-25
ser_2_20,lesca,1-5
ser_2_20,dalca,1-5
ser_2_20,elyca,1-5
ser_2_20,sornu,5-25
ser_2_20,boucu,1-5
ser_2_20,agrgi,5-25
ser_2_20,setfa,1-5
