quadratID,speciesID,cover
mrs_1_1,solri,25-50
mrs_1_1,phaar,50-75
mrs_1_1,tarof,1-5
mrs_1_1,cirar,1-5
mrs_1_1,solca,5-25
mrs_1_1,schsc,5-25
mrs_1_1,setfa,1-5
mrs_2_1,solri,5-25
mrs_2_1,setfa,75-95
mrs_2_1,lacse,<1
mrs_2_2,helhe,50-75
mrs_2_2,tarof,<1
mrs_2_2,solri,5-25
mrs_2_2,andge,25-50
mrs_2_2,setlu,1-5
mrs_2_2,elyca,1-5
mrs_2_3,monfi,25-50
mrs_2_3,andge,5-25
mrs_2_3,elyvi,25-50
mrs_2_3,elyca,5-25
mrs_2_3,symer,5-25
mrs_2_3,fesar,<1
mrs_2_3,solca,1-5
mrs_2_3,setfa,5-25
mrs_2_4,rudhi,5-25
mrs_2_4,monfi,25-50
mrs_2_4,conca,5-25
mrs_2_4,lacse,1-5
mrs_2_4,elyca,1-5
mrs_2_4,ratpi,1-5
mrs_2_4,andge,5-25
mrs_2_4,setfa,5-25
mrs_2_4,elyvi,5-25
mrs_6_1,chafa,1-5
mrs_6_1,helhe,25-50
mrs_6_1,monfi,5-25
mrs_6_1,elyvi,1-5
mrs_6_1,ratpi,1-5
mrs_6_1,desca,5-25
mrs_6_1,cirdi,1-5
mrs_6_1,andge,5-25
mrs_6_1,rudhi,1-5
mrs_6_1,tripr,<1
mrs_6_1,solca,<1
mrs_6_1,zizau,5-25
mrs_6_1,poapr,5-25
mrs_6_1,schsc,1-5
mrs_6_1,tarof,1-5
mrs_6_1,broin,<1
mrs_6_1,sornu,<1
mrs_6_1,setfa,1-5
mrs_6_2,cirar,1-5
mrs_6_2,elyca,25-50
mrs_6_2,eryyu,5-25
mrs_6_2,monfi,5-25
mrs_6_2,cirdi,5-25
mrs_6_2,helhe,1-5
mrs_6_2,tarof,5-25
mrs_6_2,chafa,<1
mrs_6_2,sornu,1-5
mrs_6_2,agrre,<1
mrs_6_3,echpa,25-50
mrs_6_3,solri,25-50
mrs_6_3,solca,5-25
mrs_6_3,zizau,5-25
mrs_6_3,cirar,1-5
mrs_6_3,popde,<1
mrs_6_3,lacse,5-25
mrs_6_3,sornu,<1
mrs_6_3,desca,5-25
mrs_6_3,helhe,1-5
mrs_6_3,elyca,1-5
mrs_6_3,setfa,5-25
mrs_6_4,echpa,5-25
mrs_6_4,solri,25-50
mrs_6_4,monfi,5-25
mrs_6_4,cirar,1-5
mrs_6_4,carvu,5-25
mrs_6_4,helhe,5-25
mrs_6_4,sornu,25-50
mrs_6_4,chafa,<1
mrs_6_4,tarof,1-5
mrs_6_5,desca,25-50
mrs_6_5,monfi,5-25
mrs_6_5,boucu,5-25
mrs_6_5,cirdi,1-5
mrs_6_5,schsc,5-25
mrs_6_5,conca,1-5
mrs_6_5,tripr,1-5
mrs_6_5,tarof,1-5
mrs_6_5,echpa,<1
mrs_6_5,solri,25-50
mrs_6_5,elyca,1-5
mrs_6_6,ruehu,1-5
mrs_6_6,solri,25-50
mrs_6_6,tarof,1-5
mrs_6_6,solca,5-25
mrs_6_6,ratpi,5-25
mrs_6_6,schsc,1-5
mrs_6_6,sornu,5-25
mrs_6_6,andge,1-5
mrs_6_6,elyca,5-25
