quadratID,speciesID,cover
isb_1_1,verfa,5-25
isb_1_1,monfi,5-25
isb_1_1,ratpi,5-25
isb_1_1,broin,25-50
isb_1_1,panvi,1-5
isb_1_1,poapr,25-50
isb_1_1,andge,5-25
isb_1_2,andge,25-50
isb_1_2,broin,25-50
isb_1_2,poapr,25-50
isb_1_2,helhe,<1
isb_1_2,sornu,1-5
isb_1_2,solcar,<1
isb_1_3,andge,25-50
isb_1_3,chafa,1-5
isb_1_3,broin,25-50
isb_1_3,helhe,1-5
isb_1_3,tarof,1-5
isb_1_3,poapr,25-50
isb_1_3,panvi,5-25
isb_1_3,sornu,1-5
isb_1_4,ratpi,5-25
isb_1_4,solca,5-25
isb_1_4,andge,25-50
isb_1_4,panvi,5-25
isb_1_4,poapr,25-50
isb_1_4,broin,5-25
isb_1_4,sornu,5-25
isb_1_5,ratpi,5-25
isb_1_5,andge,25-50
isb_1_5,solca,5-25
isb_1_5,monfi,5-25
isb_1_5,helhe,5-25
isb_1_5,poapr,50-75
isb_1_5,sornu,5-25
isb_1_5,broin,5-25
isb_1_6,symno,25-50
isb_1_6,ratpi,5-25
isb_1_6,andge,25-50
isb_1_6,panvi,5-25
isb_1_6,sornu,5-25
isb_1_6,poapr,25-50
isb_1_6,broin,5-25
isb_1_7,zizau,5-25
isb_1_7,solca,5-25
isb_1_7,helhe,5-25
isb_1_7,ratpi,1-5
isb_1_7,broin,25-50
isb_1_7,andge,50-75
isb_1_7,poapr,5-25
isb_1_8,sornu,25-50
isb_1_8,solca,5-25
isb_1_8,panvi,5-25
isb_1_8,ratpi,5-25
isb_1_8,chafa,1-5
isb_1_8,poapr,25-50
isb_1_8,broin,5-25
isb_1_8,andge,1-5
isb_1_12,andge,25-50
isb_1_12,poapr,25-50
isb_1_12,panvi,5-25
isb_1_12,broin,5-25
isb_1_12,oxast,<1
isb_1_12,ratpi,<1
isb_1_24,andge,25-50
isb_1_24,broin,25-50
isb_1_24,poapr,25-50
isb_1_24,sornu,1-5
isb_1_23,andge,25-50
isb_1_23,broin,50-75
isb_1_23,panvi,5-25
isb_1_23,poapr,1-5
isb_1_23,oxast,<1
isb_1_23,sornu,5-25
isb_1_23,setfa,1-5
isb_1_22,helhe,5-25
isb_1_22,andge,25-50
isb_1_22,broin,25-50
isb_1_22,poapr,25-50
isb_1_22,solpt,1-5
isb_1_21,panvi,5-25
isb_1_21,moral,1-5
isb_1_21,broin,50-75
isb_1_21,tripr,5-25
isb_1_21,poapr,25-50
isb_1_21,unkn1,<1
isb_1_21,solpt,1-5
isb_1_20,rudhi,5-25
isb_1_20,helhe,5-25
isb_1_20,conca,5-25
isb_1_20,broin,25-50
isb_1_20,andge,1-5
isb_1_20,poapr,5-25
isb_1_20,setfa,5-25
isb_1_20,panvi,1-5
isb_1_19,monfi,25-50
isb_1_19,andge,25-50
isb_1_19,sornu,1-5
isb_1_19,panvi,5-25
isb_1_19,broin,5-25
isb_1_19,solpt,<1
isb_1_19,poapr,5-25
isb_1_18,silpe,5-25
isb_1_18,panvi,5-25
isb_1_18,solca,25-50
isb_1_18,helhe,5-25
isb_1_18,poapr,25-50
isb_1_18,zizau,<1
isb_1_18,solpt,<1
isb_1_18,broin,25-50
isb_1_17,broin,75-95
isb_1_17,solca,1-5
isb_1_16,junto,5-25
isb_1_16,solpt,5-25
isb_1_16,solca,5-25
isb_1_16,broin,50-75
isb_1_16,apoca,1-5
isb_1_15,solcar,1-5
isb_1_15,elyca,1-5
isb_1_15,solca,5-25
isb_1_15,broin,50-75
isb_1_15,lacse,1-5
isb_1_15,unkn1,<1
isb_1_15,moral,1-5
isb_1_14,verha,25-50
isb_1_14,lacse,5-25
isb_1_14,junto,5-25
isb_1_14,lytsa,5-25
isb_1_14,cirdi,1-5
isb_1_14,unkn6,5-25
isb_1_14,polpe,5-25
isb_1_14,ratpi,1-5
isb_1_14,poapr,5-25
isb_1_14,broin,1-5
isb_1_14,oxast,<1
isb_1_14,unkn1,1-5
isb_2_1,ratpi,25-50
isb_2_1,dalpu,1-5
isb_2_1,schsc,5-25
isb_2_1,tripr,5-25
isb_2_1,rudhi,5-25
isb_2_1,broin,5-25
isb_2_1,monfi,1-5
isb_2_1,oxast,<1
isb_2_1,moral,<1
isb_2_1,andge,5-25
isb_2_1,poapr,5-25
isb_2_2,monfi,5-25
isb_2_2,rudhi,5-25
isb_2_2,potsi,5-25
isb_2_2,broin,5-25
isb_2_2,schsc,5-25
isb_2_2,unkn5,1-5
isb_2_2,unkn1,1-5
isb_2_2,lacse,1-5
isb_2_2,oxast,<1
isb_2_2,moral,<1
isb_2_2,poapr,5-25
isb_2_3,urtdi,1-5
isb_2_3,monfi,5-25
isb_2_3,ratpi,5-25
isb_2_3,solca,1-5
isb_2_3,rudhi,5-25
isb_2_3,tarof,5-25
isb_2_3,schsc,5-25
isb_2_3,broin,50-75
isb_2_3,setfa,<1
