quadratID,speciesID,cover,notes,flowering
hoe_6_7,panvi,25-50,,
hoe_6_7,tarof,5-25,,
hoe_6_7,elyca,5-25,,
hoe_6_7,elyvi,5-25,,
hoe_6_7,andge,1-5,,
hoe_6_7,linle,5-25,,
hoe_6_7,sornu,5-25,,
hoe_6_7,schsc,1-5,,
hoe_6_7,rudhi,5-25,gaipu? Photo,
hoe_6_7,broja,1-5,,
hoe_6_6,solri,25-50,,
hoe_6_6,ratpi,5-25,,
hoe_6_6,potar,1-5,,
hoe_6_6,tarof,5-25,,
hoe_6_6,elyvi,1-5,,
hoe_6_6,elyca,1-5,,
hoe_6_6,trire,1-5,,
hoe_6_6,spoas,5-25,,
hoe_6_6,sornu,1-5,,
hoe_6_6,schsc,1-5,,
hoe_6_6,helhe,1-5,,
hoe_6_5,cirar,25-50,,
hoe_6_5,elyca,1-5,,
hoe_6_5,helhe,5-25,,
hoe_6_5,tarof,5-25,,
hoe_6_5,panvi,5-25,,
hoe_6_5,frape,5-25,ash;photo,
hoe_6_5,elyvi,5-25,,
hoe_6_5,sornu,1-5,,
hoe_6_4,elyvi,5-25,,
hoe_6_4,cirar,25-50,,
hoe_6_4,solri,5-25,,
hoe_6_4,astca,25-50,,
hoe_6_4,elyca,1-5,,
hoe_6_4,sornu,1-5,,
hoe_6_4,panvi,5-25,,
hoe_6_4,tarof,1-5,,
hoe_6_4,frape,5-25,,
hoe_6_4,ratpi,1-5,,
hoe_6_4,andge,1-5,,
hoe_6_3,melal,5-25,,
hoe_6_3,helhe,5-25,,
hoe_6_3,ratpi,25-50,,
hoe_6_3,potar,5-25,,
hoe_6_3,cirar,5-25,,
hoe_6_3,elyvi,5-25,,
hoe_6_3,elyca,1-5,,
hoe_6_3,tarof,5-25,,
hoe_6_3,andge,5-25,,
hoe_6_3,boucu,1-5,,
hoe_6_3,frape,1-5,,
hoe_6_3,panvi,1-5,,
hoe_6_2,helhe,5-25,,
hoe_6_2,astca,25-50,,
hoe_6_2,cirar,5-25,,
hoe_6_2,monfi,5-25,,
hoe_6_2,elyvi,5-25,,
hoe_6_2,sornu,1-5,,
hoe_6_2,andge,1-5,,
hoe_6_2,tarof,1-5,,
hoe_6_2,sonar,1-5,unk1;tall dandelion type weed; cf lacse,
hoe_6_1,helhe,5-25,,
hoe_6_1,solca,5-25,,
hoe_6_1,monfi,5-25,,
hoe_6_1,elyvi,5-25,,
hoe_6_1,elyca,1-5,,
hoe_6_1,sonar,5-25,unk1,
hoe_6_1,tarof,5-25,,
hoe_6_1,sornu,5-25,,
hoe_6_1,spoas,5-25,,
hoe_6_1,boucu,1-5,,
hoe_5_2,cirar,5-25,,
hoe_5_2,elyvi,5-25,,
hoe_5_2,echcr,50-75,,
hoe_5_2,poatr,1-5,agrostis? Took sample,
hoe_5_2,amatu,5-25,,
hoe_5_1,solca,5-25,,
hoe_5_1,cirar,25-50,,
hoe_5_1,elyvi,50-75,,
hoe_5_1,rudhi,5-25,,
hoe_5_1,tarof,5-25,,
hoe_5_1,ratpi,1-5,,
hoe_5_1,astca,1-5,,
hoe_4_2,cirar,5-25,,
hoe_4_2,dalpu,1-5,,
hoe_4_2,gaipu,1-5,,
hoe_4_2,rudhi,1-5,,
hoe_4_2,helhe,5-25,,
hoe_4_2,tarof,5-25,,
hoe_4_2,ratpi,5-25,,
hoe_4_2,linle,1-5,,
hoe_4_2,elyca,5-25,,
hoe_4_2,elyvi,5-25,,
hoe_4_2,andge,5-25,,
hoe_4_2,sonar,5-25,unk1,
hoe_4_2,panvi,1-5,,
hoe_4_2,spoas,1-5,,
hoe_4_3,linle,1-5,,
hoe_4_3,dalpu,5-25,,
hoe_4_3,tarof,5-25,,
hoe_4_3,solri,1-5,,
hoe_4_3,helhe,1-5,,
hoe_4_3,melal,1-5,,
hoe_4_3,ratpi,1-5,,
hoe_4_3,andge,25-50,,
hoe_4_3,sornu,5-25,,
hoe_4_3,boucu,1-5,,
hoe_4_3,elyca,5-25,,
hoe_4_3,elyvi,5-25,,
hoe_4_4,solri,25-50,,
hoe_4_4,helhe,5-25,,
hoe_4_4,symer,5-25,,
hoe_4_4,tarof,5-25,,
hoe_4_4,ratpi,5-25,,
hoe_4_4,elyvi,5-25,,
hoe_4_4,panvi,1-5,,
hoe_4_4,sornu,1-5,,
hoe_4_4,andge,25-50,,
hoe_4_5,ratpi,25-50,,
hoe_4_5,solri,5-25,,
hoe_4_5,elyca,5-25,,
