quadratID,speciesID,cover,notes,flowering
pow_2_1,desil,5-25,,
pow_2_1,ratpi,5-25,,
pow_2_1,boucu,5-25,,
pow_2_1,sornu,5-25,,
pow_2_1,broin,5-25,,
pow_2_1,rudhi,1-5,,
pow_2_1,conca,1-5,,
pow_2_1,schsc,1-5,,
pow_2_1,andge,1-5,,
pow_2_1,trire,1-5,,
pow_2_1,dalpu,1-5,,
pow_2_1,elyvi,5-25,,
pow_3_1,ratpi,5-25,,
pow_3_1,helhe,5-25,,
pow_3_1,tripr,5-25,,
pow_3_1,boucu,5-25,,
pow_3_1,elyvi,5-25,,
pow_3_1,sornu,5-25,,
pow_3_1,conca,1-5,,
pow_3_1,rudhi,1-5,,
pow_3_1,schsc,5-25,,
pow_3_1,elyca,1-5,,
pow_3_1,dalpu,1-5,,
pow_3_1,tarof,1-5,,
pow_3_1,andge,1-5,,
pow_4_1,medsa,5-25,,
pow_4_1,elyca,1-5,,
pow_4_1,dacgl,25-50,,
pow_4_1,sornu,5-25,,
pow_4_1,boucu,5-25,,
pow_4_1,broin,5-25,,
pow_4_1,poapr,1-5,,
pow_4_1,elyvi,1-5,,
pow_4_2,ratpi,5-25,,
pow_4_2,dacgl,5-25,,
pow_4_2,andge,5-25,,
pow_4_2,broin,5-25,,
pow_4_2,trire,1-5,,
pow_4_2,helhe,1-5,,
pow_4_2,elyca,1-5,,
pow_4_2,panvi,1-5,,
pow_4_2,schsc,1-5,,
pow_4_2,boucu,1-5,,
pow_4_2,spohe,1-5,,
pow_4_2,elyvi,5-25,,
pow_5_1,medsa,25-50,,
pow_5_1,sornu,5-25,,
pow_5_1,ratpi,5-25,,
pow_5_1,broin,5-25,,
pow_5_1,rudhi,1-5,,
pow_5_1,andge,5-25,,
pow_5_1,boucu,1-5,,
pow_5_1,elyca,1-5,,
pow_6_1,monfi,25-50,,
pow_6_1,helhe,5-25,,
pow_6_1,ratpi,5-25,,
pow_6_1,sornu,5-25,,
pow_6_1,elyvi,5-25,,
pow_6_1,elyca,1-5,,
pow_6_1,phlpr,1-5,,
pow_6_1,poapr,25-50,,
pow_6_1,broin,5-25,,
pow_7_1,tarof,5-25,,
pow_7_1,sornu,5-25,,
pow_7_1,panvi,5-25,,
pow_7_1,broin,5-25,,
pow_7_1,andge,5-25,,
pow_7_1,boucu,5-25,,
pow_7_1,rudhi,1-5,,
pow_7_1,helhe,1-5,,
pow_8_3,monfi,5-25,,
pow_8_3,ratpi,5-25,,
pow_8_3,zizau,5-25,,
pow_8_3,dalca,5-25,,
pow_8_3,elyvi,5-25,,
pow_8_3,elyca,1-5,,
pow_8_3,boucu,5-25,,
pow_8_3,sornu,1-5,,
pow_8_3,broin,5-25,,
pow_8_2,ratpi,5-25,,
pow_8_2,monfi,5-25,,
pow_8_2,tripr,1-5,,
pow_8_2,elyvi,5-25,,
pow_8_2,boucu,5-25,,
pow_8_2,poapr,1-5,,
pow_8_2,broin,5-25,,
pow_8_2,panvi,1-5,,
pow_8_2,andge,1-5,,
pow_8_2,medsa,5-25,,
pow_8_1,elyvi,25-50,,
pow_8_1,monfi,5-25,,
pow_8_1,broin,25-50,,
pow_8_1,physu,5-25,,
pow_8_1,ipohe,1-5,,
pow_9_2,ratpi,5-25,,
pow_9_2,monfi,5-25,,
pow_9_2,elyca,1-5,,
pow_9_2,elyvi,5-25,,
pow_9_2,broin,25-50,,
pow_9_2,cirar,5-25,,
pow_9_1,desca,5-25,,
pow_9_1,medsa,5-25,,
pow_9_1,elyca,1-5,,
pow_9_1,elyvi,50-75,,
pow_9_1,sornu,5-25,,
pow_9_1,boucu,1-5,,
pow_10_1,desil,5-25,,
pow_10_1,dalpu,5-25,,
pow_10_1,conca,1-5,,
pow_10_1,trire,5-25,,
pow_10_1,medsa,5-25,,
pow_10_1,tarof,5-25,,
pow_10_1,cirar,5-25,,
pow_10_1,elyvi,5-25,,
pow_10_1,boucu,5-25,,
pow_10_1,broin,5-25,,
pow_10_1,ratpi,1-5,,
pow_10_1,andge,1-5,,
pow_10_1,elyca,1-5,,
pow_10_1,bare_ground,5-25,,
pow_10_2,solri,5-25,,
pow_10_2,symno,5-25,,
pow_10_2,ratpi,5-25,,
pow_10_2,desca,1-5,,
pow_10_2,helhe,5-25,,
pow_10_2,monfi,5-25,,
pow_10_2,tarof,1-5,,
pow_10_2,zizau,1-5,,
pow_10_2,dalpu,5-25,,
pow_10_2,elyca,1-5,,
pow_10_2,boucu,25-50,,
pow_10_2,sornu,5-25,,
pow_10_2,conca,1-5,,
pow_10_2,broin,1-5,,
pow_10_2,asctu,1-5,,
pow_10_2,dalca,1-5,,
pow_10_2,phlpr,1-5,,
pow_10_3,erian,5-25,,
pow_10_3,dalpu,5-25,,
pow_10_3,desil,5-25,,
pow_10_3,chafa,1-5,,
pow_10_3,pendi,5-25,plantain;photo;buckthorn?,
pow_10_3,echpa,1-5,,
pow_10_3,aceru,5-25,maple?photo,
pow_10_3,boucu,5-25,,
pow_10_3,elyca,1-5,,
pow_10_3,sornu,5-25,,
pow_10_3,monfi,5-25,,
pow_10_3,broin,1-5,,
pow_10_3,schsc,1-5,,
pow_10_3,polpe,1-5,,
pow_12_1,ratpi,5-25,,
pow_12_1,broin,5-25,,
pow_12_1,elyvi,5-25,,
pow_12_1,elyca,1-5,,
pow_12_1,monfi,5-25,,
pow_12_1,lacse,1-5,,
pow_12_1,sornu,5-25,,
pow_12_1,aceru,1-5,maple?,
pow_12_1,tarof,5-25,,
pow_12_1,conca,1-5,,
pow_12_1,boucu,5-25,,
pow_12_1,symoo,1-5,,
pow_12_2,rudhi,5-25,,
pow_12_2,zizau,5-25,,
pow_12_2,dalpu,5-25,,
pow_12_2,medlu,1-5,,
pow_12_2,asctu,1-5,,
