quadratID,speciesID,cover,notes,flowering
gos_1_10,ruboc,5-25,,
gos_1_10,dauca,1-5,,
gos_1_10,ratpi,5-25,,
gos_1_10,solca,25-50,,
gos_1_10,rudhi,1-5,,
gos_1_10,broin,5-25,,
gos_1_10,poapr,5-25,,
gos_1_10,symoo,1-5,,
gos_1_10,lacse,1-5,,
gos_1_10,symlan,5-25,,
gos_1_9,ascsy,5-25,,
gos_1_9,solca,5-25,,
gos_1_9,dauca,5-25,,
gos_1_9,oxast,1-5,,
gos_1_9,broin,25-50,,
gos_1_9,corti,1-5,,
gos_1_9,rudhi,5-25,,
gos_1_9,verur,1-5,,
gos_1_9,tarof,1-5,,
gos_1_9,helhe,1-5,,
gos_1_9,ratpi,1-5,,
gos_1_9,agrre,1-5,,
gos_1_9,setfa,5-25,,
gos_1_8,solca,5-25,,
gos_1_8,vitri,5-25,,
gos_1_8,chafa,5-25,,
gos_1_8,dauca,1-5,,
gos_1_8,oxast,1-5,,
gos_1_8,tarof,1-5,,
gos_1_8,ascin,1-5,,
gos_1_8,broin,50-75,,
gos_1_8,cervu,1-5,unk1;mouse ear chicken;sample,
gos_1_8,ratpi,1-5,,
gos_1_8,setpu,1-5,,
gos_1_7,solca,50-75,,
gos_1_7,verst,5-25,,
gos_1_7,rudhi,5-25,,
gos_1_7,dauca,5-25,,
gos_1_7,poapr,25-50,,
gos_1_7,passa,1-5,,
gos_1_7,broin,1-5,,
gos_1_7,lacse,1-5,,
gos_1_7,andge,1-5,,
gos_1_1,solca,50-75,,
gos_1_1,dauca,5-25,,
gos_1_1,chafa,5-25,,
gos_1_1,rudhi,5-25,,
gos_1_1,broin,25-50,,
gos_1_1,ratpi,5-25,,
gos_1_1,asctu,1-5,,
gos_1_1,oxast,<1,,
gos_1_1,poapr,5-25,,
gos_1_1,ambar,1-5,,
gos_1_1,ruboc,<1,,
gos_1_1,cirvu,1-5,,
gos_1_1,setpu,1-5,,
gos_1_6,andge,25-50,,
gos_1_6,solca,5-25,,
gos_1_6,verst,5-25,,
gos_1_6,dauca,1-5,,
gos_1_6,symlan,5-25,,
gos_1_6,plaru,5-25,plantain;plala?;photo,
gos_1_6,verur,1-5,,
gos_1_6,oxast,1-5,,
gos_1_6,broin,5-25,,
gos_1_6,conca,1-5,,
gos_1_6,rudhi,5-25,,
gos_1_6,sornu,5-25,,
gos_1_6,setfa,1-5,,
gos_1_6,poapr,1-5,,
gos_1_6,setpu,1-5,,
gos_1_5,solca,5-25,,
gos_1_5,cirar,25-50,,
gos_1_5,broin,50-75,,
gos_1_5,poapr,5-25,,
gos_1_5,dauca,5-25,,
gos_1_2,andge,50-75,,
gos_1_2,solca,5-25,,
gos_1_2,broin,5-25,,
gos_1_2,poapr,5-25,,
gos_1_2,dauca,1-5,,
gos_1_2,helhe,1-5,,
gos_1_2,passa,1-5,,
gos_1_2,panvi,1-5,,
gos_1_2,ratpi,1-5,,
gos_1_3,ambar,75-95,,
gos_1_3,verur,5-25,,
gos_1_3,solca,5-25,,
gos_1_3,cirar,5-25,,
gos_1_3,passa,5-25,,
gos_1_3,broin,5-25,,
gos_1_3,dauca,1-5,,
gos_1_3,solpt,1-5,,
gos_1_3,setpu,5-25,,
gos_1_4,ambar,50-75,,
gos_1_4,broin,5-25,,
gos_1_4,cirar,5-25,,
gos_1_4,conca,1-5,,
gos_1_4,solpt,5-25,,
gos_1_4,setpu,1-5,,
gos_1_4,lacse,5-25,,
gos_1_4,broja,5-25,,
gos_1_4,setfa,5-25,,
gos_1_4,poapr,1-5,,
gos_2_5,solca,75-95,,
gos_2_5,glyma,5-25,,
gos_2_5,ambar,5-25,,
gos_2_5,passa,5-25,,
gos_2_5,poapr,25-50,,
gos_2_5,symlan,5-25,,
gos_2_5,tarof,1-5,,
gos_2_5,verur,1-5,,
gos_2_5,phyhe,1-5,,
gos_2_5,hyppe,1-5,saint johns wart;short variety;photo,
gos_2_5,cypes,5-25,,
gos_2_5,dauca,1-5,,
gos_2_5,broin,1-5,,
gos_2_4,ambar,5-25,,
gos_2_4,verst,5-25,,
gos_2_4,broin,50-75,,
gos_2_4,dauca,5-25,,
gos_2_4,glyma,1-5,,
gos_2_4,setpu,5-25,,
gos_2_3,helhe,5-25,,
gos_2_3,solca,5-25,,
gos_2_3,dauca,1-5,,
gos_2_3,poapr,50-75,,
gos_2_3,plala,5-25,photo,
gos_2_3,agrre,5-25,,
gos_2_3,medlu,1-5,,
gos_2_3,rudhi,1-5,,
gos_2_3,symoo,1-5,,
gos_2_3,ratpi,1-5,,
gos_2_3,broin,1-5,,
gos_2_2,solca,25-50,,
gos_2_2,poapr,25-50,,
gos_2_2,symlan,5-25,,
gos_2_2,solpt,1-5,,
gos_2_2,potre,1-5,unk2;marijuana leaf;photo,
gos_2_2,lacse,1-5,,
gos_2_2,broin,5-25,,
gos_2_2,verst,1-5,,
gos_2_2,rudhi,5-25,,
gos_2_2,ratpi,1-5,,
gos_2_2,dauca,1-5,,
gos_2_2,galtr,1-5,unk3;sample,
gos_2_2,oxast,<1,,
gos_2_2,pruse,5-25,unk4;photo;tree,
gos_2_2,sornu,1-5,,
gos_2_2,cervu,1-5,unk1,
gos_2_6,ascsy,25-50,,
gos_2_6,solca,50-75,,
gos_2_6,teuca,5-25,unk5;photo;mint family,
gos_2_6,agrre,1-5,,
gos_2_6,poapr,1-5,,
gos_2_6,broin,5-25,,
gos_2_6,symlan,1-5,,
gos_2_1,solca,75-95,,
gos_2_1,symlan,5-25,,
gos_2_1,ruboc,5-25,,
gos_2_1,cirar,5-25,,
gos_2_1,medlu,1-5,,
gos_2_1,tarof,5-25,,
gos_2_1,phyhe,1-5,,
gos_2_1,verur,1-5,,
gos_2_1,broin,5-25,,
gos_2_1,poapr,5-25,,
gos_2_1,agrre,1-5,,
gos_2_1,rudhi,1-5,,
gos_2_7,ascsy,5-25,,
gos_2_7,solca,5-25,,
gos_2_7,dauca,5-25,,
gos_2_7,rudhi,5-25,,
gos_2_7,broin,50-75,,
gos_2_7,lacse,5-25,,
