quadratID,speciesID,cover,notes,flowering
rho_4_1,ratpi,5-25,,
rho_4_1,andge,5-25,,
rho_4_1,tarof,5-25,,
rho_4_1,elyca,25-50,,
rho_4_1,potno,1-5,unk1;yellow flowers;photo,
rho_4_1,broin,5-25,,
rho_4_1,cirar,1-5,,
rho_4_2,polpe,5-25,,
rho_4_2,ambtr,5-25,,
rho_4_2,horju,1-5,,
rho_4_2,tarof,25-50,,
rho_4_2,rumcr,5-25,,
rho_4_2,echcr,5-25,,
rho_4_2,setpu,5-25,,
rho_4_2,broin,5-25,,
rho_4_2,cheal,1-5,,
rho_4_2,elyca,5-25,,
rho_4_3,elyca,5-25,,
rho_4_3,zeama,5-25,,
rho_4_3,lacse,5-25,,
rho_4_3,polpe,5-25,,
rho_4_3,ambtr,5-25,,
rho_4_3,tripr,1-5,,
rho_4_3,poapr,5-25,,
rho_4_3,cheal,1-5,,
rho_4_3,setfa,5-25,,
rho_4_3,abuth,<1,,
rho_4_3,conca,1-5,,
rho_4_3,tarof,1-5,,
rho_4_3,cirdi,5-25,,
rho_1_1,desca,25-50,,
rho_1_1,zizau,1-5,,
rho_1_1,broin,50-75,,
rho_1_1,helhe,<1,,
rho_1_2,xanst,5-25,,
rho_1_2,broin,75-95,,
rho_1_2,polpe,1-5,,
rho_1_2,lacse,1-5,,
rho_1_2,setfa,1-5,,
rho_1_2,tarof,1-5,,
rho_1_2,rudhi,<1,,
rho_1_3,equar,50-75,,
rho_1_3,zizau,25-50,,
rho_1_3,rudhi,5-25,,
rho_1_3,setfa,1-5,,
rho_1_3,desca,1-5,died,
rho_1_3,polav,1-5,,
rho_1_4,physu,5-25,,
rho_1_4,equar,25-50,,
rho_1_4,tarof,1-5,,
rho_1_4,chafa,1-5,,
rho_1_4,broin,5-25,,
rho_1_4,hibtr,<1,,
rho_1_4,andge,5-25,,
rho_1_4,ratpi,<1,,
rho_1_5,broin,25-50,,
rho_1_5,monfi,5-25,,
rho_1_5,equar,5-25,,
rho_1_5,ratpi,5-25,,
rho_1_5,chafa,1-5,,
rho_1_5,rudhi,1-5,,
rho_1_5,helhe,1-5,,
rho_1_5,conca,1-5,,
rho_1_5,andge,5-25,,
rho_1_5,setpu,1-5,,
rho_1_6,desca,5-25,,
rho_1_6,broin,75-95,,
rho_1_6,ratpi,5-25,,
rho_1_6,maist,5-25,unk2;sample,
rho_1_6,carvu,1-5,,
rho_2_1,ambtr,5-25,,
rho_2_1,symoo,5-25,,
rho_2_1,solca,5-25,,
rho_2_1,dauca,1-5,,
rho_2_1,tarof,5-25,,
rho_2_1,melal,5-25,,
rho_2_1,setfa,5-25,,
rho_2_1,rudhi,1-5,,
rho_2_1,digsa,5-25,,
rho_2_1,setpu,5-25,,
rho_2_1,ratpi,1-5,,
rho_2_1,amatu,1-5,,
rho_2_1,zeama,5-25,,
rho_2_2,symoo,75-95,,
rho_2_2,chafa,5-25,,
rho_2_2,elyca,5-25,,
rho_2_2,solca,5-25,,
rho_2_2,cheal,5-25,,
rho_2_2,setfa,5-25,,
rho_2_2,tarof,5-25,,
rho_2_2,trire,1-5,,
rho_2_2,lacse,1-5,,
rho_2_3,ambar,5-25,,
rho_2_3,lacse,5-25,,
rho_2_3,cheal,25-50,,
rho_2_3,elyca,1-5,,
rho_2_3,setfa,25-50,,
rho_2_3,cirdi,1-5,,
rho_2_3,conca,1-5,,
rho_2_3,polpe,1-5,,
rho_2_3,broin,5-25,,
rho_2_4,cirvu,5-25,,
rho_2_4,conca,5-25,,
rho_2_4,rudhi,50-75,,
rho_2_4,ambar,5-25,,
rho_2_4,setfa,5-25,,
rho_2_4,elyca,1-5,,
rho_2_4,abuth,1-5,,
rho_2_4,cheal,5-25,,
rho_2_4,polpe,1-5,,
rho_2_5,ambar,75-95,,
rho_2_5,conca,5-25,,
rho_2_5,polpe,5-25,,
rho_2_5,polav,5-25,,
rho_2_5,cirvu,1-5,,
rho_2_5,rudhi,5-25,,
rho_2_5,oenbi,1-5,,
rho_2_5,setfa,5-25,,
rho_2_5,trire,1-5,,
rho_2_5,cheal,1-5,,
rho_2_6,elyca,25-50,,
rho_2_6,conca,5-25,,
rho_2_6,cirdi,5-25,,
rho_2_6,tarof,1-5,,
rho_2_6,setpu,5-25,,
rho_2_6,oenbi,5-25,,
rho_2_6,polpe,1-5,,
rho_2_6,setfa,1-5,,
rho_2_7,elyca,25-50,,
rho_2_7,conca,5-25,,
rho_2_7,abuth,5-25,,
rho_2_7,echcr,25-50,,
rho_2_7,lacse,5-25,,
rho_2_7,broin,1-5,,
rho_2_8,tripr,5-25,,
rho_2_8,xanst,25-50,,
rho_2_8,rumcr,5-25,,
rho_2_8,tarof,5-25,,
rho_2_8,elyca,5-25,,
rho_2_8,abuth,1-5,,
rho_2_8,conca,5-25,,
rho_2_8,setfa,5-25,,
rho_2_8,poapr,5-25,,
rho_2_8,setpu,5-25,,
rho_2_8,helhe,1-5,,
rho_2_8,lacse,5-25,,
rho_2_9,elyca,5-25,,
rho_2_9,horju,5-25,,
rho_2_9,polpe,5-25,,
rho_2_9,broin,25-50,,
rho_2_9,setfa,25-50,,
rho_2_9,abuth,1-5,,
rho_3_1,desca,25-50,,
rho_3_1,oenbi,5-25,,
rho_3_1,abuth,5-25,,
rho_3_1,amatu,5-25,,
rho_3_1,setpu,25-50,,
rho_3_1,echcr,5-25,,
rho_3_1,polpe,5-25,,
rho_3_1,conca,1-5,,
rho_3_2,elyca,5-25,,
rho_3_2,chafa,5-25,,
rho_3_2,lacse,5-25,,
rho_3_2,tarof,5-25,,
rho_3_2,andge,25-50,,
rho_3_2,conca,5-25,,
rho_3_2,echcr,5-25,,
rho_3_2,dacgl,25-50,,
rho_3_2,cirdi,5-25,,
rho_3_3,elyca,5-25,,
rho_3_3,tarof,5-25,,
rho_3_3,tripr,1-5,,
rho_3_3,lotco,5-25,,
rho_3_3,solca,5-25,,
rho_3_3,amatu,5-25,,
rho_3_3,conca,5-25,,
rho_3_3,setpu,25-50,,
rho_3_3,oenbi,1-5,,
rho_3_3,cirvu,1-5,,
rho_3_4,ascve,25-50,tiny monarch!,
rho_3_4,solca,5-25,,
rho_3_4,setfa,5-25,,
rho_3_4,elyca,5-25,,
rho_3_4,echcr,5-25,,
rho_3_4,tarof,5-25,,
rho_3_4,bare_ground,5-25,,
rho_3_5,tarof,5-25,,
rho_3_5,bare_ground,5-25,,
rho_3_5,ruehu,5-25,,
rho_3_5,echcr,25-50,,
rho_3_5,amatu,1-5,,
rho_3_5,setpu,5-25,,
rho_3_5,agrre,1-5,,
rho_3_6,amatu,5-25,,
rho_3_6,ruehu,5-25,,
rho_3_6,setfa,50-75,,
rho_3_6,setpu,25-50,,
rho_3_6,tarof,5-25,,
