quadratID,speciesID,cover,notes,flowering
rdm_1_1,chafa,50-75,,
rdm_1_1,dalpu,5-25,,
rdm_1_1,ratpi,5-25,,
rdm_1_1,melal,5-25,,
rdm_1_1,tarof,5-25,,
rdm_1_1,polav,1-5,,
rdm_1_1,spohe,25-50,,
rdm_1_1,digsa,1-5,,
rdm_1_1,rudhi,5-25,,
rdm_1_1,trire,5-25,,
rdm_1_1,poapr,1-5,,
rdm_1_1,symoo,5-25,,
rdm_1_2,chafa,75-95,,
rdm_1_2,symoo,5-25,,
rdm_1_2,andge,5-25,,
rdm_1_2,setfa,1-5,,
rdm_1_2,schsc,5-25,,
rdm_1_2,ratpi,5-25,,
rdm_1_2,melal,1-5,,
rdm_1_2,sornu,5-25,,
rdm_1_2,tarof,1-5,,
rdm_1_2,cirdi,1-5,,
rdm_1_2,conca,1-5,,
rdm_1_2,oxast,<1,,
rdm_1_2,rudhi,1-5,,
rdm_1_2,helhe,<1,,
rdm_1_3,chafa,75-95,,
rdm_1_3,sornu,5-25,,
rdm_1_3,symoo,25-50,,
rdm_1_3,desca,5-25,,
rdm_1_3,dauca,1-5,,
rdm_1_3,tarof,5-25,,
rdm_1_3,schsc,5-25,,
rdm_1_3,rudhi,1-5,,
rdm_1_3,cirar,5-25,,
rdm_1_3,andge,5-25,,
rdm_1_3,echpa,1-5,,
rdm_1_3,polav,1-5,,
rdm_1_3,setfa,1-5,,
rdm_1_4,chafa,75-95,mowed,
rdm_1_4,cirvu,5-25,mowed,
rdm_1_4,helhe,5-25,mowed,
rdm_1_4,ratpi,5-25,mowed,
rdm_1_4,elyca,1-5,mowed,
rdm_1_4,rudhi,5-25,mowed,
rdm_1_4,symoo,5-25,mowed,
rdm_1_4,tarof,5-25,mowed,
rdm_1_4,spohe,1-5,mowed,
rdm_1_4,setpu,1-5,mowed,
rdm_1_4,andge,1-5,mowed,
rdm_1_4,dauca,<1,mowed,
rdm_1_5,tarof,5-25,mowed,
rdm_1_5,medlu,1-5,mowed,
rdm_1_5,symoo,5-25,mowed,
rdm_1_5,chafa,5-25,mowed,
rdm_1_5,ratpi,5-25,mowed,
rdm_1_5,dalpu,5-25,mowed,
rdm_1_5,melal,5-25,mowed,
rdm_1_5,setfa,1-5,mowed,
rdm_1_5,muhfr,5-25,mowed,
rdm_1_5,rudhi,1-5,mowed,
rdm_1_5,sornu,1-5,mowed,
rdm_1_5,cirvu,5-25,mowed,
