quadratID,speciesID,cover,notes,flowering
isb_1_14,ratpi,5-25,,
isb_1_14,andge,5-25,,
isb_1_14,solca,50-75,,
isb_1_14,poapr,25-50,,
isb_1_14,helhe,1-5,,
isb_1_14,solpt,5-25,,
isb_1_14,broin,1-5,,
isb_1_15,helhe,5-25,,
isb_1_15,moral,5-25,,
isb_1_15,broin,25-50,,
isb_1_15,solpt,5-25,,
isb_1_15,solcar,5-25,,
isb_1_15,cirvu,5-25,,
isb_1_15,lacse,1-5,,
isb_1_15,amare,1-5,,
isb_1_16,phyhe,5-25,,
isb_1_16,broin,75-95,,
isb_1_17,asctu,5-25,,
isb_1_17,broin,75-95,,
isb_1_17,helhe,1-5,,
isb_1_18,helhe,5-25,,
isb_1_18,broin,50-75,,
isb_1_18,poapr,25-50,,
isb_1_18,andge,5-25,,
isb_1_18,tarof,1-5,,
isb_1_19,ratpi,5-25,,
isb_1_19,broin,50-75,,
isb_1_19,solcar,5-25,,
isb_1_19,cirar,5-25,,
isb_1_19,poapr,1-5,,
isb_1_19,andge,1-5,,
isb_1_10,broin,75-95,,
isb_1_10,poapr,25-50,,
isb_1_10,solca,5-25,,
isb_1_10,cirar,1-5,,
isb_1_10,helhe,1-5,,
isb_1_6,broin,50-75,,
isb_1_6,helhe,5-25,,
isb_1_6,poapr,5-25,,
isb_1_6,ratpi,5-25,,
isb_1_6,andge,5-25,,
isb_1_5,solpt,5-25,,
isb_1_5,broin,75-95,,
isb_1_5,andge,5-25,,
isb_1_5,poapr,5-25,,
isb_1_4,helhe,5-25,,
isb_1_4,ratpi,5-25,,
isb_1_4,rudsu,5-25,,
isb_1_4,tripr,1-5,,
isb_1_4,sornu,5-25,,
isb_1_4,poapr,25-50,,
isb_1_4,broin,5-25,,
isb_1_4,andge,5-25,,
isb_1_21,panvi,1-5,,
isb_1_21,solca,5-25,,
isb_1_21,broin,50-75,,
isb_1_21,poapr,25-50,,
isb_1_21,solpt,1-5,,
isb_1_20,rudhi,5-25,,
isb_1_20,broin,75-95,,
isb_1_20,poapr,25-50,,
isb_1_20,solpt,1-5,,
isb_1_20,verfa,5-25,,
isb_1_20,cheal,1-5,,
isb_1_24,andge,25-50,,
isb_1_24,broin,50-75,,
isb_1_24,poapr,5-25,,
isb_1_23,monfi,5-25,,
isb_1_23,solca,5-25,,
isb_1_23,broin,75-95,,
isb_1_23,andge,1-5,,
isb_1_23,poapr,1-5,,
isb_1_22,broin,50-75,,
isb_1_22,solca,5-25,,
isb_1_22,helhe,1-5,,
isb_1_22,poapr,5-25,,
isb_1_22,sornu,1-5,,
isb_1_11,solca,25-50,,
isb_1_11,broin,25-50,,
isb_1_11,ratpi,1-5,,
isb_1_11,zizau,5-25,,
isb_1_11,andge,25-50,,
isb_1_11,poapr,25-50,,
isb_1_3,solca,5-25,,
isb_1_3,symno,25-50,,
isb_1_3,broin,5-25,,
isb_1_3,poapr,5-25,,
isb_1_3,andge,25-50,,
isb_1_3,panvi,5-25,,
isb_1_3,helhe,1-5,,
isb_1_2,solca,5-25,,
isb_1_2,helhe,5-25,,
isb_1_2,monfi,5-25,,
isb_1_2,panvi,5-25,,
isb_1_2,andge,25-50,,
isb_1_2,poapr,5-25,,
isb_1_2,sornu,1-5,,
isb_1_2,broin,5-25,,
isb_1_13,solca,5-25,,
isb_1_13,monfi,5-25,,
isb_1_13,helhe,5-25,,
isb_1_13,panvi,5-25,,
isb_1_13,andge,25-50,,
isb_1_13,ratpi,5-25,,
isb_1_13,poapr,1-5,,
isb_1_13,sornu,5-25,,
isb_1_1,ratpi,5-25,,
isb_1_1,monfi,5-25,,
isb_1_1,andge,25-50,,
isb_1_1,poapr,25-50,,
isb_1_1,sornu,5-25,,
isb_1_1,panvi,5-25,,
isb_1_1,broin,5-25,,
isb_1_9,andge,25-50,,
isb_1_9,broin,25-50,,
isb_1_9,poapr,5-25,,
isb_1_9,solpt,1-5,,
isb_1_9,solca,5-25,,
isb_1_12,helhe,5-25,,
isb_1_12,solca,5-25,,
isb_1_12,poapr,5-25,,
isb_1_12,broin,5-25,,
isb_1_12,andge,25-50,,
isb_1_12,ratpi,1-5,,
isb_1_8,andge,25-50,,
isb_1_8,solca,5-25,,
isb_1_8,poapr,25-50,,
isb_1_8,broin,25-50,,
isb_1_8,ratpi,1-5,,
isb_1_7,thlar,5-25,pennycress,
isb_1_7,broin,5-25,,
isb_1_7,solca,25-50,,
isb_1_7,ambar,5-25,,
isb_1_7,symoo,5-25,,
isb_1_7,tarof,1-5,,
isb_1_7,poapr,5-25,,
isb_1_7,muhfr,1-5,,
isb_1_7,monfi,1-5,,
isb_1_7,lacse,1-5,,
