quadratID,speciesID,cover,notes,flowering
wor_1_1,ratpi,5-25,,
wor_1_1,dalpu,1-5,,
wor_1_1,chafa,1-5,,
wor_1_1,helhe,1-5,,
wor_1_1,desca,1-5,,
wor_1_1,monfi,1-5,,
wor_1_1,rudhi,1-5,,
wor_1_1,conca,<1,,
wor_1_1,asctu,1-5,,
wor_1_1,solri,5-25,,
wor_1_1,zizau,1-5,,
wor_1_1,tarof,1-5,,
wor_1_1,oxast,<1,,
wor_1_1,eupma,<1,,
wor_1_1,symoo,1-5,,
wor_1_1,sornu,5-25,,
wor_1_1,broin,1-5,,
wor_1_1,setpu,5-25,,
wor_1_1,schsc,5-25,,
wor_1_1,andge,1-5,,
wor_1_2,chafa,1-5,,
wor_1_2,ratpi,1-5,,
wor_1_2,bapal,1-5,,
wor_1_2,monfi,5-25,,
wor_1_2,broin,5-25,,
wor_1_2,sornu,25-50,,
wor_1_2,andge,5-25,,
wor_1_2,elyca,1-5,,
wor_1_2,schsc,1-5,,
wor_1_3,broin,75-95,,
wor_1_3,cirar,5-25,,
wor_1_3,setpu,1-5,,
wor_1_4,chafa,5-25,,
wor_1_4,echpu,5-25,,
wor_1_4,ratpi,5-25,,
wor_1_4,junvi,5-25,cedar?;photo,
wor_1_4,eryyu,1-5,,
wor_1_4,solri,1-5,,
wor_1_4,broin,5-25,,
wor_1_4,symoo,1-5,,
wor_1_4,sornu,25-50,,
wor_1_4,desca,5-25,,
wor_1_4,helhe,5-25,,
wor_1_4,monfi,5-25,,
wor_1_4,pruse,1-5,,
wor_1_4,elyca,1-5,,
wor_1_4,andge,1-5,,
wor_1_5,elyca,5-25,,
wor_1_5,ratpi,5-25,,
wor_1_5,chafa,1-5,,
wor_1_5,solri,5-25,,
wor_1_5,symer,5-25,,
wor_1_5,toxra,5-25,unk1;photo;woody,
wor_1_5,helhe,5-25,,
wor_1_5,andge,5-25,,
wor_1_5,broin,1-5,,
wor_1_5,tarof,1-5,,
wor_1_6,monfi,5-25,,
wor_1_6,solca,5-25,,
wor_1_6,elyca,5-25,,
wor_1_6,solri,5-25,,
wor_1_6,boucu,1-5,,
wor_1_6,moral,5-25,,
wor_1_6,ruehu,5-25,,
wor_1_6,rudhi,1-5,,
wor_1_6,sornu,5-25,,
wor_1_6,poapr,1-5,,
wor_1_6,heuri,1-5,unkn2;photo;rose_fam?,
wor_1_6,conca,1-5,,
wor_1_6,tarof,1-5,,
wor_1_6,andge,5-25,,
wor_1_6,helhe,1-5,,
wor_5_1,ratpi,25-50,,
wor_5_1,chafa,5-25,,
wor_5_1,panvi,50-75,,
wor_5_1,andge,5-25,,
wor_5_1,broin,1-5,,
wor_5_2,panvi,5-25,,
wor_5_2,elyca,5-25,,
wor_5_2,chafa,1-5,,
wor_5_2,solri,25-50,,
wor_5_2,tarof,1-5,,
wor_5_2,andge,5-25,,
wor_5_2,broin,1-5,,
wor_5_3,asctu,1-5,,
wor_5_3,chafa,1-5,,
wor_5_3,panvi,25-50,,
wor_5_3,ratpi,5-25,,
wor_5_3,schsc,5-25,,
wor_5_3,rudhi,1-5,,
wor_5_3,elyca,1-5,,
wor_5_3,spohe,1-5,,
wor_5_4,elyca,5-25,,
wor_5_4,chafa,1-5,,
wor_5_4,ratpi,5-25,,
wor_5_4,panvi,5-25,,
wor_5_4,schsc,5-25,,
wor_5_4,setpu,1-5,,
wor_5_4,agrre,1-5,,
wor_5_4,andge,5-25,,
wor_5_4,broin,1-5,,
wor_4_1,elyca,5-25,,
wor_4_1,cirar,5-25,,
wor_4_1,ruehu,5-25,,
wor_4_1,andge,25-50,,
wor_4_1,chafa,1-5,,
wor_4_1,solri,1-5,,
wor_4_1,boucu,1-5,,
wor_4_2,chafa,25-50,,
wor_4_2,ascsy,5-25,,
wor_4_2,elyca,50-75,,
wor_4_2,ratpi,5-25,,
wor_4_2,setfa,5-25,,
wor_4_3,elyca,75-95,,
wor_4_3,panvi,1-5,,
wor_4_3,agrre,1-5,,
wor_4_3,zizau,1-5,,
wor_4_3,setfa,1-5,,
wor_4_3,spohe,1-5,,
wor_4_3,ratpi,<1,,
wor_4_4,chafa,1-5,,
wor_4_4,ratpi,5-25,,
wor_4_4,asctu,5-25,,
wor_4_4,monfi,1-5,,
wor_4_4,panvi,5-25,,
wor_4_4,elyca,5-25,,
wor_4_4,boucu,5-25,,
wor_4_4,schsc,5-25,,
wor_4_4,spohe,1-5,,
wor_4_4,setpu,1-5,,
wor_3_1,monfi,50-75,,
wor_3_1,cirar,5-25,,
wor_3_1,ratpi,5-25,,
