quadratID,speciesID,cover,notes,flowering
dmw_1_16,glyma,5-25,,
dmw_1_16,andge,50-75,,
dmw_1_16,setvi,5-25,,
dmw_1_16,frape,5-25,"unk1;woody;photos;opp lvs, ash fam?",
dmw_1_15,sornu,5-25,,
dmw_1_15,rudhi,1-5,,
dmw_1_15,andge,50-75,,
dmw_1_15,aceru,1-5,,
dmw_1_15,gletr,1-5,,
dmw_1_15,elyca,1-5,,
dmw_1_15,frape,5-25,unk1; combined with ash in this quadrat (unk1 and unk2 are the same),
dmw_1_15,plama,1-5,,
dmw_1_14,rudhi,1-5,,
dmw_1_14,amatu,1-5,,
dmw_1_14,unk3,1-5,unk3;brassica?sample,
dmw_1_14,frape,5-25,unk1 and unk2 combined,
dmw_1_14,andge,50-75,,
dmw_1_13,rudhi,5-25,,
dmw_1_13,aceru,1-5,,
dmw_1_13,ulmam,1-5,"unk4;photo, woody, serated lvs; sample",
dmw_1_13,conca,<1,,
dmw_1_13,amatu,1-5,,
dmw_1_13,abuth,<1,,
dmw_1_13,plama,<1,,
dmw_1_13,andge,25-50,,
dmw_1_13,sornu,5-25,,
dmw_1_13,elyca,1-5,,
dmw_1_12,rudhi,5-25,,
dmw_1_12,amatu,1-5,,
dmw_1_12,sornu,5-25,,
dmw_1_12,andge,50-75,,
dmw_1_12,plama,1-5,,
dmw_1_12,elyca,1-5,,
dmw_1_12,conca,1-5,,
dmw_1_12,frape,5-25,unk2,
dmw_1_11,andge,75-95,,
dmw_1_11,sornu,5-25,,
dmw_1_11,elyca,5-25,,
dmw_1_11,ulmam,1-5,unk4,
dmw_1_11,elyvi,1-5,,
dmw_1_10,andge,75-95,,
dmw_1_10,elyca,5-25,,
dmw_1_10,elyvi,1-5,,
dmw_1_10,sanca,1-5,unk5;photo;whorl of 3 lvs;sanicle,
dmw_1_10,sornu,5-25,,
dmw_1_10,panvi,1-5,,
dmw_1_9,elyca,5-25,,
dmw_1_9,elyvi,1-5,,
dmw_1_9,andge,75-95,,
dmw_1_8,andge,75-95,,
dmw_1_8,elyca,1-5,,
dmw_1_8,panvi,1-5,,
dmw_1_8,elyvi,1-5,,
dmw_1_7,andge,75-95,,
dmw_1_7,sornu,5-25,,
dmw_1_7,conca,1-5,,
dmw_1_7,elyca,1-5,,
dmw_1_7,rudhi,1-5,,
dmw_1_6,conca,1-5,,
dmw_1_6,amatu,1-5,,
dmw_1_6,rudhi,1-5,,
