quadratID,speciesID,cover,notes,flowering
stt_5_5,sympi,1-5,,
stt_5_5,cirdi,5-25,,
stt_5_5,sornu,25-50,,
stt_5_5,panvi,5-25,,
stt_5_5,andge,5-25,,
stt_5_5,schsc,1-5,,
stt_5_5,poapr,5-25,,
stt_5_4,cirar,5-25,,
stt_5_4,helhe,5-25,,
stt_5_4,ratpi,5-25,,
stt_5_4,sornu,5-25,,
stt_5_4,panvi,5-25,,
stt_5_4,conca,1-5,,
stt_5_4,schsc,1-5,,
stt_5_4,andge,1-5,,
stt_5_4,monfi,1-5,,
stt_5_4,elyca,1-5,,
stt_5_3,panvi,5-25,,
stt_5_3,monfi,5-25,,
stt_5_3,boucu,5-25,,
stt_5_3,ratpi,5-25,,
stt_5_3,andge,5-25,,
stt_5_3,cirar,5-25,,
stt_5_3,tarof,1-5,,
stt_5_3,helhe,1-5,,
stt_5_3,elyvi,1-5,,
stt_5_3,sornu,25-50,,
stt_5_2,cirar,5-25,,
stt_5_2,solri,5-25,,
stt_5_2,tarof,1-5,,
stt_5_2,panvi,5-25,,
stt_5_2,elyvi,1-5,,
stt_5_2,boucu,1-5,,
stt_5_2,andge,5-25,,
stt_5_2,ratpi,1-5,,
stt_5_2,helhe,1-5,,
stt_5_2,spohe,1-5,,
stt_5_2,monfi,5-25,,
stt_5_2,sornu,1-5,,
stt_5_7,sympi,5-25,,
stt_5_7,solri,1-5,,
stt_5_7,ratpi,1-5,,
stt_5_7,setfa,1-5,,
stt_5_7,schsc,5-25,,
stt_5_7,tarof,1-5,,
stt_5_7,spohe,1-5,,
stt_5_7,sornu,25-50,,
stt_5_7,andge,5-25,,
stt_5_7,elyca,1-5,,
stt_5_7,poapr,1-5,,
stt_5_1,panvi,25-50,,
stt_5_1,helhe,5-25,,
stt_5_1,phyvi,25-50,,
stt_5_1,broin,5-25,,
stt_5_1,solcar,1-5,,
stt_5_1,sornu,1-5,,
stt_5_1,andge,1-5,,
stt_5_1,schsc,1-5,,
stt_5_1,poapr,1-5,,
stt_5_1,barvu,1-5,unk1;brassica;photo;rosette,
stt_5_6,andge,50-75,,
stt_5_6,monfi,1-5,,
stt_5_6,panvi,5-25,,
stt_5_6,schsc,1-5,,
stt_5_6,poapr,1-5,,
stt_5_6,brote,5-25,?? Hairy sheath,
stt_5_6,boucu,1-5,,
stt_5_6,ratpi,1-5,,
stt_5_8,panvi,5-25,,
stt_5_8,sympi,1-5,,
stt_5_8,tripr,1-5,,
stt_5_8,agrre,5-25,,
stt_5_8,poapr,25-50,,
stt_5_8,melof,1-5,,
stt_5_8,phaar,5-25,,
stt_5_8,spohe,1-5,,
stt_4_14,physu,1-5,,
stt_4_14,lacse,5-25,,
stt_4_14,panvi,5-25,,
stt_4_14,andge,25-50,,
stt_4_14,sornu,1-5,,
stt_4_14,elyvi,1-5,,
stt_4_14,phaar,1-5,,
