quadratID,speciesID,cover,notes,flowering
mrs_1_1,cirar,25-50,,
mrs_1_1,solca,5-25,,
mrs_1_1,solri,1-5,,
mrs_1_1,helhe,5-25,,
mrs_1_1,lacse,5-25,,
mrs_1_1,setfa,50-75,,
mrs_1_1,polpe,1-5,,
mrs_1_1,elyca,1-5,,
mrs_1_1,ratpi,1-5,,
mrs_1_1,tarof,1-5,,
mrs_1_1,polco,1-5,,
mrs_2_1,solri,25-50,,
mrs_2_1,zizau,50-75,,
mrs_2_1,cirdi,1-5,,
mrs_2_1,setfa,1-5,,
mrs_2_1,helhe,5-25,,
mrs_2_1,elyca,1-5,,
mrs_2_2,monfi,25-50,,
mrs_2_2,elyvi,25-50,,
mrs_2_2,solpt,5-25,,
mrs_2_2,passa,5-25,,
mrs_2_2,andge,5-25,,
mrs_2_2,tarof,1-5,,
mrs_2_2,helhe,1-5,,
mrs_2_3,monfi,5-25,,
mrs_2_3,symer,75-95,,
mrs_2_3,elyvi,5-25,,
mrs_2_3,poapr,5-25,,
mrs_2_4,elyvi,25-50,,
mrs_2_4,monfi,25-50,,
mrs_2_4,schsc,5-25,,
mrs_2_4,tarof,1-5,,
mrs_2_4,helhe,1-5,,
mrs_2_4,ratpi,1-5,,
mrs_5_3,helhe,25-50,,
mrs_5_3,zizau,5-25,,
mrs_5_3,solca,5-25,,
mrs_5_3,passa,5-25,,
mrs_5_3,cirar,5-25,,
mrs_5_3,andge,5-25,,
mrs_5_3,tarof,5-25,,
mrs_5_3,setfa,5-25,,
mrs_5_3,schsc,1-5,,
mrs_5_2,helhe,25-50,,
mrs_5_2,monfi,5-25,,
mrs_5_2,solri,5-25,,
mrs_5_2,cirar,1-5,,
mrs_5_2,ruehu,5-25,,
mrs_5_2,ruboc,25-50,,
mrs_5_2,elyca,1-5,,
mrs_5_2,passa,5-25,,
mrs_5_2,zizau,1-5,,
mrs_5_1,elyca,5-25,,
mrs_5_1,polpe,5-25,,
mrs_5_1,passa,5-25,,
mrs_5_1,conca,1-5,,
mrs_5_1,cirar,25-50,,
mrs_5_1,solca,5-25,,
mrs_5_1,physu,5-25,,
mrs_5_1,ruehu,1-5,,
mrs_5_1,setfa,5-25,,
mrs_5_1,lacse,5-25,,
mrs_5_1,oxast,1-5,,
mrs_5_1,horju,1-5,,
mrs_4_1,chafa,5-25,,
mrs_4_1,passa,25-50,,
mrs_4_1,helhe,1-5,,
mrs_4_1,ruehu,25-50,,
mrs_4_1,cirar,5-25,,
mrs_4_1,schsc,5-25,,
mrs_4_1,setfa,5-25,,
mrs_4_1,poapr,1-5,,
mrs_4_2,cirar,25-50,,
mrs_4_2,monfi,25-50,,
mrs_4_2,elyca,5-25,,
mrs_4_2,helhe,1-5,,
