quadratID,speciesID,cover,notes,flowering
smi_2_1,ascsy,5-25,,
smi_2_1,silin,5-25,,
smi_2_1,ratpi,5-25,,
smi_2_1,panvi,5-25,,
smi_2_1,elyca,25-50,,
smi_2_1,cirar,5-25,,
smi_2_1,helhe,5-25,,
smi_2_1,parin,1-5,,
smi_2_1,setfa,5-25,,
smi_2_1,solri,1-5,,
smi_2_1,polco,1-5,,
smi_2_1,sornu,5-25,,
smi_2_2,panvi,5-25,,
smi_2_2,elyca,5-25,,
smi_2_2,ratpi,5-25,,
smi_2_2,helhe,5-25,,
smi_2_2,elyvi,5-25,,
smi_2_2,eryyu,5-25,,
smi_2_2,sornu,1-5,,
smi_2_2,polpe,1-5,,
smi_2_2,andge,1-5,,
smi_2_2,polco,1-5,,
smi_2_2,silla,5-25,,
smi_2_2,desca,5-25,,
smi_2_2,silin,5-25,,
smi_2_3,cirar,5-25,,
smi_2_3,panvi,25-50,,
smi_2_3,andge,5-25,,
smi_2_3,sornu,25-50,,
smi_2_3,desca,1-5,,
smi_2_3,ratpi,1-5,,
smi_2_3,helhe,1-5,,
smi_2_3,oxast,<1,,
smi_2_3,rudhi,1-5,,
smi_2_3,dalpu,1-5,,
smi_2_3,parin,1-5,,
smi_2_3,silin,5-25,,
smi_2_3,cheal,<1,,
smi_2_3,setfa,5-25,,
smi_2_3,elyca,1-5,,
smi_2_3,polco,<1,,
smi_2_4,helhe,5-25,,
smi_2_4,ratpi,5-25,,
smi_2_4,cirar,5-25,,
smi_2_4,silin,5-25,,
smi_2_4,elyca,5-25,,
smi_2_4,andge,5-25,,
smi_2_4,panvi,5-25,,
smi_2_4,sornu,25-50,,
smi_2_4,rudhi,1-5,,
smi_2_4,setfa,1-5,,
smi_2_4,solri,1-5,,
smi_2_4,desca,1-5,,
smi_2_5,cirar,5-25,,
smi_2_5,monfi,25-50,,
smi_2_5,ratpi,5-25,,
smi_2_5,elyca,5-25,,
smi_2_5,panvi,5-25,,
smi_2_5,andge,5-25,,
smi_2_5,eryyu,5-25,,
smi_2_5,silin,5-25,,
smi_2_5,sornu,1-5,,
smi_2_5,desca,5-25,,
smi_2_5,setfa,1-5,,
smi_2_5,schsc,1-5,,
smi_2_6,monfi,5-25,,
smi_2_6,dalpu,5-25,,
smi_2_6,helhe,5-25,,
smi_2_6,ratpi,5-25,,
smi_2_6,parin,1-5,,
smi_2_6,silla,5-25,,
smi_2_6,desca,5-25,,
smi_2_6,rudhi,5-25,,
smi_2_6,elyca,5-25,,
smi_2_6,sornu,5-25,,
smi_2_6,andge,5-25,,
smi_2_6,broin,1-5,,
smi_2_6,schsc,1-5,,
smi_2_7,elyca,5-25,,
smi_2_7,sornu,25-50,,
smi_2_7,monfi,5-25,,
smi_2_7,helhe,5-25,,
smi_2_7,ratpi,5-25,,
smi_2_7,andge,5-25,,
smi_2_7,silin,1-5,,
smi_2_7,boucu,1-5,,
smi_1_1,helhe,25-50,,
smi_1_1,broin,50-75,,
smi_1_1,parin,5-25,,
smi_1_1,cirar,1-5,,
smi_1_1,ratpi,5-25,,
smi_1_1,desca,5-25,,
smi_1_1,sornu,5-25,,
smi_1_1,silin,1-5,,
smi_1_1,elyca,1-5,,
smi_1_1,andge,1-5,,
smi_1_2,desca,5-25,,
smi_1_2,monfi,1-5,,
smi_1_2,andge,25-50,,
smi_1_2,panvi,5-25,,
smi_1_2,helhe,5-25,,
smi_1_2,sornu,5-25,,
smi_1_2,schsc,1-5,,
smi_1_2,silin,1-5,,
smi_1_2,cirar,1-5,,
smi_1_2,elyca,1-5,,
smi_1_3,desca,5-25,,
smi_1_3,helhe,5-25,,
smi_1_3,panvi,5-25,,
smi_1_3,andge,25-50,,
smi_1_3,ratpi,1-5,,
smi_1_3,rudhi,1-5,,
smi_1_3,setfa,5-25,,
smi_1_3,silin,1-5,,
smi_1_3,schsc,5-25,,
smi_1_3,sornu,1-5,,
smi_1_3,solri,1-5,,
smi_1_4,helhe,25-50,,
smi_1_4,eryyu,5-25,,
smi_1_4,silla,5-25,,
smi_1_4,elyca,5-25,,
smi_1_4,andge,25-50,,
smi_1_4,desca,1-5,,
smi_1_4,amatu,1-5,,
smi_1_4,sornu,5-25,,
smi_1_4,silin,1-5,,
smi_1_4,ratpi,1-5,,
smi_1_5,helhe,25-50,,
smi_1_5,desca,5-25,,
smi_1_5,andge,5-25,,
smi_1_5,ratpi,5-25,,
smi_1_5,silin,25-50,,
smi_1_5,panvi,5-25,,
smi_1_5,cirar,5-25,,
smi_1_5,polco,1-5,,
smi_1_5,setfa,5-25,,
smi_1_5,sornu,1-5,,
smi_1_6,silin,5-25,,
smi_1_6,panvi,1-5,,
smi_1_6,desca,25-50,,
smi_1_6,cirar,5-25,,
smi_1_6,elyca,5-25,,
smi_1_6,andge,5-25,,
smi_1_6,helhe,5-25,,
smi_1_6,sornu,5-25,,
smi_1_6,ratpi,5-25,,
smi_1_6,monfi,1-5,,
smi_1_6,eryyu,1-5,,
smi_1_7,elyca,5-25,,
smi_1_7,ratpi,25-50,,
smi_1_7,andge,25-50,,
smi_1_7,sornu,5-25,,
smi_1_7,schsc,5-25,,
smi_1_7,rudhi,5-25,,
smi_1_7,dalpu,1-5,,
smi_1_7,parin,1-5,,
smi_1_7,oxast,<1,,
smi_1_7,setfa,5-25,,
smi_1_7,amatu,1-5,,
smi_1_7,calse,1-5,,
smi_1_8,silin,25-50,,
smi_1_8,sornu,25-50,,
smi_1_8,andge,25-50,,
smi_1_8,desca,5-25,,
smi_1_8,rudhi,1-5,,
smi_1_8,ratpi,5-25,,
smi_1_8,asctu,1-5,,
smi_1_8,helhe,5-25,,
smi_1_8,dalpu,1-5,,
smi_1_8,oxast,<1,,
smi_1_8,polco,1-5,,
smi_1_8,setfa,1-5,,
smi_1_9,andge,5-25,,
smi_1_9,sornu,25-50,,
smi_1_9,dalpu,5-25,,
smi_1_9,ratpi,5-25,,
smi_1_9,cirar,5-25,,
smi_1_9,desca,5-25,,
smi_1_9,helhe,1-5,,
smi_1_9,silin,5-25,,
smi_1_9,ascin,1-5,,
smi_1_9,setfa,1-5,,
smi_1_9,elyca,1-5,,
smi_1_10,desca,25-50,,
smi_1_10,ratpi,5-25,,
smi_1_10,cirar,5-25,,
smi_1_10,sornu,5-25,,
smi_1_10,andge,5-25,,
smi_1_10,elyca,5-25,,
smi_1_10,helhe,1-5,,
smi_1_10,setfa,5-25,,
smi_1_10,dalpu,1-5,,
smi_1_10,asctu,1-5,,
smi_1_10,panvi,1-5,,
smi_1_10,monfi,1-5,,
smi_1_10,oxast,<1,,
smi_1_10,rudhi,1-5,,
smi_1_10,silin,1-5,,
smi_1_10,schsc,1-5,,
smi_1_11,cirar,5-25,,
smi_1_11,desca,5-25,,
smi_1_11,dalpu,5-25,,
smi_1_11,andge,25-50,,
smi_1_11,sornu,5-25,,
smi_1_11,ratpi,5-25,,
smi_1_11,helhe,1-5,,
smi_1_11,setfa,5-25,,
smi_1_11,rudhi,1-5,,
smi_1_11,silin,1-5,,
smi_1_11,boucu,1-5,,
smi_1_11,polco,<1,,
smi_1_12,ratpi,25-50,,
smi_1_12,andge,5-25,,
smi_1_12,dalpu,1-5,,
smi_1_12,sornu,25-50,,
smi_1_12,helhe,5-25,,
smi_1_12,rudhi,1-5,,
smi_1_12,panvi,5-25,,
smi_1_12,desca,1-5,,
smi_1_12,setfa,1-5,,
